0	1_x	1_y	2	3	4	5	6
CID100000143	leucovorin	C0009402	NLP_indication	Colorectal Carcinoma	PT	C1527249	Colorectal cancer
CID100000143	leucovorin	C0016412	NLP_indication	Folic Acid Deficiency	LLT	C0016412	Folate deficiency
CID100000143	leucovorin	C0016412	NLP_indication	Folic Acid Deficiency	PT	C0016412	Folate deficiency
CID100000143	leucovorin	C0023895	text_mention	Liver diseases	LLT	C0023895	Liver disorder
CID100000143	leucovorin	C0023895	text_mention	Liver diseases	PT	C0151763	Hepatocellular injury
CID100000143	leucovorin	C0023895	text_mention	Liver diseases	PT	C0023895	Liver disorder
CID100000143	leucovorin	C0023895	text_mention	Liver diseases	PT	C0239571	Foetor hepaticus
CID100000143	leucovorin	C0024523	text_mention	Malabsorption Syndrome	LLT	C0024523	Malabsorption
CID100000143	leucovorin	C0024523	text_mention	Malabsorption Syndrome	PT	C0024523	Malabsorption
CID100000143	leucovorin	C0029463	NLP_indication	Osteosarcoma	LLT	C0029463	Osteosarcoma
CID100000143	leucovorin	C0029463	NLP_indication	Osteosarcoma	PT	C0029463	Osteosarcoma
CID100000143	leucovorin	C0162429	text_mention	Malnutrition	LLT	C0162429	Malnutrition
CID100000143	leucovorin	C0162429	text_mention	Malnutrition	PT	C0162429	Malnutrition
CID100000143	leucovorin	C0205707	text_mention	Sprue	LLT	C0205707	Sprue
CID100000143	leucovorin	C0205707	text_mention	Sprue	PT	C0024523	Malabsorption
CID100000143	leucovorin	C0948380	NLP_indication	Colorectal cancer metastatic	LLT	C0948380	Colorectal cancer metastatic
CID100000143	leucovorin	C0948380	NLP_indication	Colorectal cancer metastatic	PT	C0948380	Colorectal cancer metastatic
CID100000143	leucovorin	C1527249	NLP_indication	Colorectal Cancer	LLT	C1527249	Colorectal cancer
CID100000143	leucovorin	C1527249	NLP_indication	Colorectal Cancer	PT	C1527249	Colorectal cancer
CID100000158	PGE2	C0000729	text_mention	Abdominal Cramps	LLT	C0000729	Abdominal cramps
CID100000158	PGE2	C0000729	text_mention	Abdominal Cramps	PT	C0000737	Abdominal pain
CID100000158	PGE2	C0000814	NLP_indication	Missed abortion	LLT	C0000814	Abortion missed
CID100000158	PGE2	C0000814	NLP_indication	Missed abortion	PT	C0000814	Abortion missed
CID100000158	PGE2	C0007222	NLP_precondition	Cardiovascular Diseases	LLT	C0007222	Cardiovascular disorder
CID100000158	PGE2	C0007222	NLP_precondition	Cardiovascular Diseases	PT	C0007222	Cardiovascular disorder
CID100000158	PGE2	C0011849	text_mention	Diabetes Mellitus	LLT	C0011849	Diabetes mellitus
CID100000158	PGE2	C0011849	text_mention	Diabetes Mellitus	PT	C0011849	Diabetes mellitus
CID100000158	PGE2	C0013274	NLP_indication	Patent ductus arteriosus	LLT	C0013274	Patent ductus arteriosus
CID100000158	PGE2	C0013274	NLP_indication	Patent ductus arteriosus	PT	C0013274	Patent ductus arteriosus
CID100000158	PGE2	C0015927	NLP_indication	Fetal Death	LLT	C0015927	Foetal death
CID100000158	PGE2	C0015927	NLP_indication	Fetal Death	PT	C0015927	Foetal death
CID100000158	PGE2	C0015934	text_mention	Fetal Growth Retardation	LLT	C0015934	Microsomia
CID100000158	PGE2	C0015934	text_mention	Fetal Growth Retardation	PT	C0015934	Microsomia
CID100000158	PGE2	C0020217	text_mention	Hydatidiform Mole	LLT	C0020217	Hydatidiform mole
CID100000158	PGE2	C0020217	text_mention	Hydatidiform Mole	PT	C0549315	Benign hydatidiform mole
CID100000158	PGE2	C0020538	text_mention	Hypertensive disease	LLT	C0020538	Hypertension
CID100000158	PGE2	C0020538	text_mention	Hypertensive disease	PT	C0020538	Hypertension
CID100000158	PGE2	C0020649	NLP_indication	Hypotension	LLT	C0020649	Hypotension
CID100000158	PGE2	C0020649	NLP_indication	Hypotension	PT	C0020649	Hypotension
CID100000158	PGE2	C0027497	text_mention	Nausea	LLT	C0027497	Nausea
CID100000158	PGE2	C0027497	text_mention	Nausea	PT	C0027497	Nausea
CID100000158	PGE2	C0032914	text_mention	Pre-Eclampsia	LLT	C0032914	Pre-eclampsia
CID100000158	PGE2	C0032914	text_mention	Pre-Eclampsia	PT	C0032914	Pre-eclampsia
CID100000158	PGE2	C0042963	text_mention	Vomiting	LLT	C0042963	Vomiting
CID100000158	PGE2	C0042963	text_mention	Vomiting	PT	C0042963	Vomiting
CID100000158	PGE2	C0221007	text_mention	Postmaturity	LLT	C0221007	Postmaturity
CID100000158	PGE2	C0221007	text_mention	Postmaturity	PT	C0021293	Postmature baby
CID100000158	PGE2	C0549315	text_mention	Benign hydatidiform mole	LLT	C0549315	Benign hydatidiform mole
CID100000158	PGE2	C0549315	text_mention	Benign hydatidiform mole	PT	C0549315	Benign hydatidiform mole
CID100000158	PGE2	C0595939	text_mention	Stillbirth	LLT	C0595939	Stillbirth
CID100000158	PGE2	C0595939	text_mention	Stillbirth	PT	C0595939	Stillbirth
CID100000158	PGE2	C1504421	text_mention	Rhesus incompatibility	LLT	C1504421	Rhesus incompatibility
CID100000158	PGE2	C1504421	text_mention	Rhesus incompatibility	PT	C1504421	Rhesus incompatibility
CID100000159	prostacyclin	C0009782	text_mention	Connective Tissue Diseases	LLT	C0009782	Connective tissue disorder
CID100000159	prostacyclin	C0009782	text_mention	Connective Tissue Diseases	PT	C0009782	Connective tissue disorder
CID100000159	prostacyclin	C0011644	text_mention	Scleroderma	LLT	C0011644	Scleroderma
CID100000159	prostacyclin	C0011644	text_mention	Scleroderma	PT	C0011644	Scleroderma
CID100000159	prostacyclin	C0020538	NLP_indication	Hypertensive disease	LLT	C0020538	Hypertension
CID100000159	prostacyclin	C0020538	NLP_indication	Hypertensive disease	PT	C0020538	Hypertension
CID100000159	prostacyclin	C1701939	text_mention	Familial pulmonary arterial hypertension	LLT	C1701939	Familial pulmonary arterial hypertension
CID100000159	prostacyclin	C1701939	text_mention	Familial pulmonary arterial hypertension	PT	C2973725	Pulmonary arterial hypertension
CID100000159	prostacyclin	C3203102	text_mention	Idiopathic pulmonary arterial hypertension	LLT	C3203102	Idiopathic pulmonary arterial hypertension
CID100000159	prostacyclin	C3203102	text_mention	Idiopathic pulmonary arterial hypertension	PT	C2973725	Pulmonary arterial hypertension
CID100000175	acetate	C0009450	text_mention	Communicable Diseases	LLT	C0009450	Infection
CID100000175	acetate	C0009450	text_mention	Communicable Diseases	PT	C0009450	Infection
CID100000175	acetate	C0020625	NLP_indication	Hyponatremia	LLT	C0020625	Hyponatraemia
CID100000175	acetate	C0020625	NLP_indication	Hyponatremia	PT	C0020625	Hyponatraemia
CID100000187	acetylcholine	C0026205	text_mention	Miosis disorder	LLT	C0026205	Miosis
CID100000187	acetylcholine	C0026205	text_mention	Miosis disorder	PT	C0026205	Miosis
CID100000191	adenosine	C0004238	text_mention	Atrial Fibrillation	LLT	C0004238	Atrial fibrillation
CID100000191	adenosine	C0004238	text_mention	Atrial Fibrillation	PT	C0004238	Atrial fibrillation
CID100000191	adenosine	C0004239	text_mention	Atrial Flutter	LLT	C0004239	Atrial flutter
CID100000191	adenosine	C0004239	text_mention	Atrial Flutter	PT	C0004239	Atrial flutter
CID100000191	adenosine	C0018799	NLP_precondition	Heart Diseases	LLT	C0018799	Cardiac disorder
CID100000191	adenosine	C0018799	NLP_precondition	Heart Diseases	PT	C0018799	Cardiac disorder
CID100000191	adenosine	C0030590	NLP_indication	Paroxysmal supraventricular tachycardia	LLT	C0030590	Paroxysmal supraventricular tachycardia
CID100000191	adenosine	C0030590	NLP_indication	Paroxysmal supraventricular tachycardia	PT	C0039240	Supraventricular tachycardia
CID100000191	adenosine	C0036572	NLP_precondition	Seizures	LLT	C0036572	Convulsion
CID100000191	adenosine	C0036572	NLP_precondition	Seizures	PT	C0036572	Convulsion
CID100000191	adenosine	C0039240	text_mention	Supraventricular tachycardia	LLT	C0039240	Supraventricular tachycardia
CID100000191	adenosine	C0039240	text_mention	Supraventricular tachycardia	PT	C0039240	Supraventricular tachycardia
CID100000191	adenosine	C0042514	text_mention	Tachycardia, Ventricular	LLT	C0042514	Ventricular tachycardia
CID100000191	adenosine	C0042514	text_mention	Tachycardia, Ventricular	PT	C0042514	Ventricular tachycardia
CID100000191	adenosine	C0043202	NLP_indication	Wolff-Parkinson-White Syndrome	LLT	C0043202	Wolff-Parkinson-White syndrome
CID100000191	adenosine	C0043202	NLP_indication	Wolff-Parkinson-White Syndrome	PT	C0043202	Wolff-Parkinson-White syndrome
CID100000191	adenosine	C0151744	NLP_precondition	Myocardial Ischemia	LLT	C0151744	Myocardial ischaemia
CID100000191	adenosine	C0151744	NLP_precondition	Myocardial Ischemia	PT	C0151744	Myocardial ischaemia
CID100000191	adenosine	C0232201	text_mention	Sinus rhythm	LLT	C0232201	Sinus rhythm
CID100000191	adenosine	C0232201	text_mention	Sinus rhythm	PT	C0232201	Sinus rhythm
CID100000191	adenosine	C0429097	text_mention	QRS complex	LLT	C0429097	QRS complex
CID100000191	adenosine	C0429097	text_mention	QRS complex	PT	C0429098	Electrocardiogram QRS complex
CID100000191	adenosine	C0857153	text_mention	Nodal block	LLT	C0857153	Nodal block
CID100000191	adenosine	C0857153	text_mention	Nodal block	PT	C0004245	Atrioventricular block
CID100000191	adenosine	C1258192	text_mention	Total Peripheral Resistance	LLT	C1258192	Vascular resistance systemic
CID100000191	adenosine	C1258192	text_mention	Total Peripheral Resistance	PT	C1258192	Vascular resistance systemic
CID100000191	adenosine	C1956346	NLP_precondition	Coronary Artery Disease	LLT	C1956346	Coronary artery disease
CID100000191	adenosine	C1956346	NLP_precondition	Coronary Artery Disease	PT	C1956346	Coronary artery disease
CID100000206	glucose	C0004610	NLP_indication	Bacteremia	LLT	C0004610	Bacteraemia
CID100000206	glucose	C0004610	NLP_indication	Bacteremia	PT	C0004610	Bacteraemia
CID100000206	glucose	C0009450	NLP_indication	Communicable Diseases	LLT	C0009450	Infection
CID100000206	glucose	C0009450	NLP_indication	Communicable Diseases	PT	C0009450	Infection
CID100000206	glucose	C0011854	NLP_indication	Diabetes Mellitus, Insulin-Dependent	LLT	C0011854	Type 1 diabetes mellitus
CID100000206	glucose	C0011854	NLP_indication	Diabetes Mellitus, Insulin-Dependent	PT	C0011854	Type 1 diabetes mellitus
CID100000206	glucose	C0011884	NLP_indication	Diabetic Retinopathy	LLT	C0011884	Diabetic retinopathy
CID100000206	glucose	C0011884	NLP_indication	Diabetic Retinopathy	PT	C0011884	Diabetic retinopathy
CID100000206	glucose	C0013604	text_mention	Edema	LLT	C0013604	Oedema
CID100000206	glucose	C0013604	text_mention	Edema	PT	C0013604	Oedema
CID100000206	glucose	C0018802	text_mention	Congestive heart failure	LLT	C0018802	Cardiac failure congestive
CID100000206	glucose	C0018802	text_mention	Congestive heart failure	PT	C0018802	Cardiac failure congestive
CID100000206	glucose	C0020456	text_mention	Hyperglycemia	LLT	C0020456	Hyperglycaemia
CID100000206	glucose	C0020456	text_mention	Hyperglycemia	PT	C0020456	Hyperglycaemia
CID100000206	glucose	C0020459	text_mention	Hyperinsulinism	LLT	C0020459	Hyperinsulinism
CID100000206	glucose	C0020459	text_mention	Hyperinsulinism	PT	C0852795	Blood insulin increased
CID100000206	glucose	C0020459	text_mention	Hyperinsulinism	PT	C0020459	Hyperinsulinism
CID100000206	glucose	C0020488	text_mention	Hypernatremia	LLT	C0020488	Hypernatraemia
CID100000206	glucose	C0020488	text_mention	Hypernatremia	PT	C0020488	Hypernatraemia
CID100000206	glucose	C0020598	NLP_indication	Hypocalcemia	LLT	C0020598	Hypocalcaemia
CID100000206	glucose	C0020598	NLP_indication	Hypocalcemia	PT	C0020598	Hypocalcaemia
CID100000206	glucose	C0020615	NLP_indication	Hypoglycemia	LLT	C0020615	Hypoglycaemia
CID100000206	glucose	C0020615	NLP_indication	Hypoglycemia	PT	C0020615	Hypoglycaemia
CID100000206	glucose	C0020625	NLP_indication	Hyponatremia	LLT	C0020625	Hyponatraemia
CID100000206	glucose	C0020625	NLP_indication	Hyponatremia	PT	C0020625	Hyponatraemia
CID100000206	glucose	C0022658	NLP_indication	Kidney Diseases	LLT	C0022658	Nephropathy
CID100000206	glucose	C0022658	NLP_indication	Kidney Diseases	PT	C0022658	Nephropathy
CID100000206	glucose	C0023890	text_mention	Liver Cirrhosis	LLT	C0023890	Hepatic cirrhosis
CID100000206	glucose	C0023890	text_mention	Liver Cirrhosis	PT	C0023890	Hepatic cirrhosis
CID100000206	glucose	C0032285	NLP_indication	Pneumonia	LLT	C0032285	Pneumonia
CID100000206	glucose	C0032285	NLP_indication	Pneumonia	PT	C0032285	Pneumonia
CID100000206	glucose	C0042345	text_mention	Varicosity	LLT	C0042345	Varicose vein
CID100000206	glucose	C0042345	text_mention	Varicosity	PT	C0042345	Varicose vein
CID100000206	glucose	C0043250	text_mention	Injury wounds	LLT	C0043250	Wound
CID100000206	glucose	C0043250	text_mention	Injury wounds	PT	C0043250	Wound
CID100000206	glucose	C0151940	NLP_indication	Hypocalcemic tetany	LLT	C0151940	Hypocalcemic tetany
CID100000206	glucose	C0151940	NLP_indication	Hypocalcemic tetany	PT	C0039621	Tetany
CID100000206	glucose	C0220983	NLP_indication	Metabolic alkalosis	LLT	C0220983	Metabolic alkalosis
CID100000206	glucose	C0220983	NLP_indication	Metabolic alkalosis	PT	C0220983	Metabolic alkalosis
CID100000206	glucose	C0235395	NLP_indication	Fluid loss	LLT	C0235395	Fluid loss
CID100000206	glucose	C0235395	NLP_indication	Fluid loss	PT	C0011175	Dehydration
CID100000206	glucose	C0442874	NLP_indication	Neuropathy	LLT	C0442874	Neuropathy
CID100000206	glucose	C0442874	NLP_indication	Neuropathy	PT	C0031117	Neuropathy peripheral
CID100000206	glucose	C0745153	text_mention	Hypoglycaemic episode	LLT	C0745153	Hypoglycaemic episode
CID100000206	glucose	C0745153	text_mention	Hypoglycaemic episode	PT	C0020615	Hypoglycaemia
CID100000206	glucose	C0858734	NLP_indication	Insulin hypoglycemia	LLT	C0858734	Insulin hypoglycemia
CID100000206	glucose	C0858734	NLP_indication	Insulin hypoglycemia	PT	C0020615	Hypoglycaemia
CID100000206	glucose	C1112209	NLP_indication	Intraabdominal Infections	LLT	C1112209	Abdominal infection
CID100000206	glucose	C1112209	NLP_indication	Intraabdominal Infections	PT	C1112209	Abdominal infection
CID100000206	glucose	C1527401	text_mention	Insulin Shock	LLT	C1527401	Shock insulin
CID100000206	glucose	C1527401	text_mention	Insulin Shock	PT	C0851302	Shock hypoglycaemic
CID100000206	glucose	C1565489	text_mention	Renal Insufficiency	LLT	C1565489	Renal impairment
CID100000206	glucose	C1565489	text_mention	Renal Insufficiency	PT	C1565489	Renal impairment
CID100000206	glucose	C1565489	text_mention	Renal Insufficiency	PT	C0035078	Renal failure
CID100000214	PGE1	C0003492	text_mention	Aortic coarctation	LLT	C0003492	Coarctation of the aorta
CID100000214	PGE1	C0003492	text_mention	Aortic coarctation	PT	C0003492	Coarctation of the aorta
CID100000214	PGE1	C0013274	NLP_indication	Patent ductus arteriosus	LLT	C0013274	Patent ductus arteriosus
CID100000214	PGE1	C0013274	NLP_indication	Patent ductus arteriosus	PT	C0013274	Patent ductus arteriosus
CID100000214	PGE1	C0018798	text_mention	Congenital Heart Defects	LLT	C0018798	Heart malformation
CID100000214	PGE1	C0018798	text_mention	Congenital Heart Defects	PT	C0152021	Heart disease congenital
CID100000214	PGE1	C0026836	text_mention	Muscle relaxation phase	LLT	C0026836	Muscle relaxation
CID100000214	PGE1	C0026836	text_mention	Muscle relaxation phase	PT	C0026827	Hypotonia
CID100000214	PGE1	C0039685	text_mention	Tetralogy of Fallot	LLT	C0039685	Fallot's tetralogy
CID100000214	PGE1	C0039685	text_mention	Tetralogy of Fallot	PT	C0039685	Fallot's tetralogy
CID100000214	PGE1	C0040761	text_mention	Transposition of Great Vessels	LLT	C0040761	Transposition of the great vessels
CID100000214	PGE1	C0040761	text_mention	Transposition of Great Vessels	PT	C0040761	Transposition of the great vessels
CID100000214	PGE1	C0042401	text_mention	Vasodilation	LLT	C0042401	Vasodilation
CID100000214	PGE1	C0042401	text_mention	Vasodilation	PT	C1142412	Vasodilation procedure
CID100000214	PGE1	C0242350	NLP_indication	Erectile dysfunction	LLT	C0242350	Erectile dysfunction
CID100000214	PGE1	C0242350	NLP_indication	Erectile dysfunction	PT	C0242350	Erectile dysfunction
CID100000214	PGE1	C0242855	text_mention	Congenital atresia of pulmonary valve	LLT	C0242855	Congenital pulmonary valve atresia
CID100000214	PGE1	C0242855	text_mention	Congenital atresia of pulmonary valve	PT	C0242855	Congenital pulmonary valve atresia
CID100000214	PGE1	C0243002	text_mention	Tricuspid Atresia	LLT	C0243002	Congenital tricuspid valve atresia
CID100000214	PGE1	C0243002	text_mention	Tricuspid Atresia	PT	C0243002	Congenital tricuspid valve atresia
CID100000214	PGE1	C0344760	text_mention	Mitral valve atresia	LLT	C0344760	Mitral valve atresia
CID100000214	PGE1	C0344760	text_mention	Mitral valve atresia	PT	C0344760	Mitral valve atresia
CID100000214	PGE1	C1956257	text_mention	Pulmonary Stenosis	LLT	C1956257	Pulmonary stenosis
CID100000214	PGE1	C1956257	text_mention	Pulmonary Stenosis	PT	C0034089	Pulmonary valve stenosis
CID100000222	ammonia	C0220983	text_mention	Metabolic alkalosis	LLT	C0220983	Metabolic alkalosis
CID100000222	ammonia	C0220983	text_mention	Metabolic alkalosis	PT	C0220983	Metabolic alkalosis
CID100000232	arginine	C0001206	text_mention	Acromegaly	LLT	C0001206	Acromegaly
CID100000232	arginine	C0001206	text_mention	Acromegaly	PT	C0001206	Acromegaly
CID100000232	arginine	C0001430	text_mention	Adenoma	LLT	C0001430	Adenoma benign
CID100000232	arginine	C0001430	text_mention	Adenoma	PT	C0001430	Adenoma benign
CID100000232	arginine	C0010276	text_mention	Craniopharyngioma	LLT	C0010276	Craniopharyngioma
CID100000232	arginine	C0010276	text_mention	Craniopharyngioma	PT	C0010276	Craniopharyngioma
CID100000232	arginine	C0013338	text_mention	Pituitary dwarfism	LLT	C0013338	Pituitary dwarfism
CID100000232	arginine	C0013338	text_mention	Pituitary dwarfism	PT	C0013336	Dwarfism
CID100000232	arginine	C0017547	text_mention	Gigantism	LLT	C0017547	Gigantism
CID100000232	arginine	C0017547	text_mention	Gigantism	PT	C0017547	Gigantism
CID100000232	arginine	C0043251	text_mention	Wounds and Injuries	LLT	C0043251	Trauma
CID100000232	arginine	C0043251	text_mention	Wounds and Injuries	PT	C3263723	Injury
CID100000232	arginine	C0221347	NLP_precondition	Acrocyanosis	LLT	C0221347	Acrocyanosis
CID100000232	arginine	C0221347	NLP_precondition	Acrocyanosis	PT	C0010520	Cyanosis
CID100000232	arginine	C0242343	text_mention	Panhypopituitarism	LLT	C0242343	Panhypopituitarism
CID100000232	arginine	C0242343	text_mention	Panhypopituitarism	PT	C0020635	Hypopituitarism
CID100000232	arginine	C0858734	text_mention	Insulin hypoglycemia	LLT	C0858734	Insulin hypoglycemia
CID100000232	arginine	C0858734	text_mention	Insulin hypoglycemia	PT	C0020615	Hypoglycaemia
CID100000244	benzyl	C0030757	NLP_indication	Pediculus capitis infestation	LLT	C0030757	Pediculosis capitis
CID100000244	benzyl	C0030757	NLP_indication	Pediculus capitis infestation	PT	C0030756	Lice infestation
CID100000247	betaine	C0019880	NLP_indication	Homocystinuria	LLT	C0019880	Homocystinuria
CID100000247	betaine	C0019880	NLP_indication	Homocystinuria	PT	C0019880	Homocystinuria
CID100000247	betaine	C0268621	NLP_precondition	Hepatic methionine adenosyltransferase deficiency	LLT	C0268621	Hypermethioninaemia
CID100000247	betaine	C0268621	NLP_precondition	Hepatic methionine adenosyltransferase deficiency	PT	C0268621	Hypermethioninaemia
CID100000271	calcium	C0002063	text_mention	Alkalosis	LLT	C0002063	Alkalosis
CID100000271	calcium	C0002063	text_mention	Alkalosis	PT	C0002063	Alkalosis
CID100000271	calcium	C0006906	text_mention	Capillary Permeability	LLT	C0006906	Capillary permeability
CID100000271	calcium	C0006906	text_mention	Capillary Permeability	PT	C0006906	Capillary permeability
CID100000271	calcium	C0011608	text_mention	Dermatitis Herpetiformis	LLT	C0011608	Dermatitis herpetiformis
CID100000271	calcium	C0011608	text_mention	Dermatitis Herpetiformis	PT	C0011608	Dermatitis herpetiformis
CID100000271	calcium	C0020461	text_mention	Hyperkalemia	LLT	C0020461	Hyperkalaemia
CID100000271	calcium	C0020461	text_mention	Hyperkalemia	PT	C0020461	Hyperkalaemia
