0	1
L-GLUTAMINE	Y+L amino acid transporter 1
L-GLUTAMINE	Y+L amino acid transporter 2
L-GLUTAMINE	Large neutral amino acids transporter small subunit 1
L-GLUTAMINE	Large neutral amino acids transporter small subunit 2
L-GLUTAMINE	B(0,+)-type amino acid transporter 1
L-GLUTAMINE	Monocarboxylate transporter 10
SERINE	Monocarboxylate transporter 10
METHIONINE	Monocarboxylate transporter 10
TYROSINE	Monocarboxylate transporter 8
TYROSINE	Monocarboxylate transporter 10
CYSTINE	Monocarboxylate transporter 10
CYSTINE	B(0,+)-type amino acid transporter 1
CYSTINE	Neutral and basic amino acid transport protein rBAT
SUCCINIC ACID	Solute carrier family 22 member 8
SUCCINIC ACID	Mitochondrial dicarboxylate carrier
SUCCINIC ACID	Solute carrier family 13 member 1
SUCCINIC ACID	Solute carrier family 13 member 2
SUCCINIC ACID	Solute carrier family 13 member 3
RIBOFLAVIN	Solute carrier family 22 member 6
GLUTAMIC ACID	Monocarboxylate transporter 10
GLUTAMIC ACID	Monocarboxylate transporter 1
GLUTAMIC ACID	Mitochondrial glutamate carrier 2
GLUTAMIC ACID	Mitochondrial glutamate carrier 1
GLUTATHIONE	Multidrug resistance-associated protein 1
GLUTATHIONE	Canalicular multispecific organic anion transporter 1
GLUTATHIONE	Canalicular multispecific organic anion transporter 2
GLUTATHIONE	Multidrug resistance-associated protein 4
GLUTATHIONE	Multidrug resistance-associated protein 5
GLYCINE	Monocarboxylate transporter 10
GLYCINE	Proton-coupled amino acid transporter 1
GLYCINE	Vesicular inhibitory amino acid transporter
GLYCINE	Sodium- and chloride-dependent glycine transporter 2
GLYCINE	Sodium- and chloride-dependent glycine transporter 1
CREATINE	Solute carrier family 22 member 5
LEUCINE	Monocarboxylate transporter 10
LEUCINE	Monocarboxylate transporter 8
TRYPTOPHAN	Monocarboxylate transporter 8
TRYPTOPHAN	Monocarboxylate transporter 10
CYSTEINE	Monocarboxylate transporter 10
THIAMINE	Solute carrier family 22 member 2
THIAMINE	Solute carrier family 22 member 1
THIAMINE	Solute carrier family 22 member 5
THIAMINE	Thiamine transporter 1
THIAMINE	Thiamine transporter 2
CITRULLINE	Solute carrier family 22 member 6
THREONINE	Monocarboxylate transporter 10
FOLIC ACID	ATP-binding cassette sub-family C member 11
FOLIC ACID	Canalicular multispecific organic anion transporter 2
FOLIC ACID	Solute carrier family 22 member 6
FOLIC ACID	Multidrug resistance-associated protein 4
FOLIC ACID	ATP-binding cassette sub-family G member 2
FOLIC ACID	Proton-coupled folate transporter
FOLIC ACID	Mitochondrial folate transporter/carrier
ALANINE	Monocarboxylate transporter 10
VALINE	Monocarboxylate transporter 10
VITAMIN A	Receptor for retinol uptake STRA6
VITAMIN E	Scavenger receptor class B member 1
VITAMIN E	ATP-binding cassette sub-family A member 1
VITAMIN E	Niemann-Pick C1-like protein 1
VITAMIN E	ATP-binding cassette sub-family G member 1
PYRIDOXINE	Alkaline phosphatase, tissue-nonspecific isozyme
ISOLEUCINE	Monocarboxylate transporter 10
ASPARTAME	Solute carrier family 22 member 6
ASPARTAME	Solute carrier family 22 member 8
ASPARTAME	Solute carrier family 22 member 11
PROLINE	Monocarboxylate transporter 10
ASPARAGINE	Monocarboxylate transporter 10
PRAVASTATIN	Solute carrier organic anion transporter family member 1B1
PRAVASTATIN	Solute carrier organic anion transporter family member 2B1
PRAVASTATIN	P-glycoprotein 1
PRAVASTATIN	Solute carrier organic anion transporter family member 1A2
PRAVASTATIN	Solute carrier family 22 member 6
PRAVASTATIN	Solute carrier family 22 member 8
PRAVASTATIN	Canalicular multispecific organic anion transporter 1
PRAVASTATIN	Solute carrier family 22 member 11
PRAVASTATIN	ATP-binding cassette sub-family G member 2
PRAVASTATIN	Solute carrier family 22 member 7
PRAVASTATIN	Monocarboxylate transporter 1
PRAVASTATIN	Bile salt export pump
PRAVASTATIN	Solute carrier organic anion transporter family member 1B3
FLUVOXAMINE	P-glycoprotein 1
FLUVOXAMINE	Bile salt export pump
VALSARTAN	Solute carrier organic anion transporter family member 1B3
VALSARTAN	Solute carrier organic anion transporter family member 1B1
VALSARTAN	Canalicular multispecific organic anion transporter 1
RAMIPRIL	Solute carrier family 15 member 1
RAMIPRIL	Solute carrier family 15 member 2
AMPHETAMINE	Solute carrier family 22 member 3
AMPHETAMINE	Solute carrier family 22 member 5
NICOTINE	Solute carrier family 22 member 2
NICOTINE	Solute carrier family 22 member 1
NICOTINE	Solute carrier family 22 member 3
NICOTINE	Solute carrier family 22 member 5
NICOTINE	Solute carrier family 22 member 4
BORTEZOMIB	P-glycoprotein 1
BORTEZOMIB	Solute carrier organic anion transporter family member 1B3
FLUCONAZOLE	P-glycoprotein 1
TROGLITAZONE	Bile salt export pump
TROGLITAZONE	Solute carrier organic anion transporter family member 1B1
OSELTAMIVIR	Multidrug resistance-associated protein 4
OSELTAMIVIR	Solute carrier family 15 member 1
OSELTAMIVIR	Solute carrier family 22 member 8
ERYTHROMYCIN	Solute carrier organic anion transporter family member 1B3
ERYTHROMYCIN	Bile salt export pump
ERYTHROMYCIN	P-glycoprotein 1
ERYTHROMYCIN	Solute carrier organic anion transporter family member 1B1
ERYTHROMYCIN	Canalicular multispecific organic anion transporter 1
ERYTHROMYCIN	Solute carrier organic anion transporter family member 1A2
CAFFEINE	ATP-binding cassette sub-family G member 2
SILDENAFIL	Multidrug resistance-associated protein 4
SILDENAFIL	Multidrug resistance-associated protein 5
SILDENAFIL	Multidrug resistance-associated protein 7
SILDENAFIL	Solute carrier organic anion transporter family member 1B1
SILDENAFIL	P-glycoprotein 1
DOFETILIDE	Solute carrier family 22 member 2
PYRIMETHAMINE	Multidrug and toxin extrusion protein 1
PYRIMETHAMINE	Multidrug and toxin extrusion protein 2
RESERPINE	P-glycoprotein 1
RESERPINE	Solute carrier family 22 member 1
RESERPINE	Bile salt export pump
RESERPINE	Canalicular multispecific organic anion transporter 1
RESERPINE	Solute carrier family 22 member 2
RESERPINE	Solute carrier organic anion transporter family member 1B1
RESERPINE	Solute carrier organic anion transporter family member 2B1
AZITHROMYCIN	P-glycoprotein 1
AZITHROMYCIN	Canalicular multispecific organic anion transporter 1
MIDODRINE	Solute carrier family 15 member 1
PANTOPRAZOLE	P-glycoprotein 1
PANTOPRAZOLE	ATP-binding cassette sub-family G member 2
PANTOPRAZOLE	Solute carrier family 22 member 8
TORASEMIDE	Solute carrier organic anion transporter family member 1B1
CITALOPRAM	P-glycoprotein 1
ELETRIPTAN	P-glycoprotein 1
NELFINAVIR	P-glycoprotein 1
NELFINAVIR	Solute carrier family 22 member 1
NELFINAVIR	Solute carrier organic anion transporter family member 1A2
NELFINAVIR	ATP-binding cassette sub-family G member 2
NELFINAVIR	Solute carrier organic anion transporter family member 1B1
NELFINAVIR	Solute carrier organic anion transporter family member 1B3
NELFINAVIR	Solute carrier organic anion transporter family member 2B1
NELFINAVIR	Bile salt export pump
GLIMEPIRIDE	Bile salt export pump
INDINAVIR	P-glycoprotein 1
INDINAVIR	Solute carrier family 22 member 1
INDINAVIR	Multidrug resistance-associated protein 1
INDINAVIR	Solute carrier organic anion transporter family member 1A2
INDINAVIR	Solute carrier organic anion transporter family member 1B1
INDINAVIR	Canalicular multispecific organic anion transporter 1
INDINAVIR	Solute carrier organic anion transporter family member 2B1
INDINAVIR	Bile salt export pump
LOVASTATIN	P-glycoprotein 1
LOVASTATIN	Solute carrier organic anion transporter family member 1A2
LOVASTATIN	Solute carrier organic anion transporter family member 1B1
LOVASTATIN	Canalicular multispecific organic anion transporter 1
LOVASTATIN	Bile salt export pump
LOVASTATIN	Solute carrier organic anion transporter family member 2B1
LOVASTATIN	Solute carrier organic anion transporter family member 1B3
CEFOTIAM	Solute carrier family 22 member 6
CEFOTIAM	Solute carrier family 22 member 8
PREGABALIN	Excitatory amino acid transporter 3
PREGABALIN	Large neutral amino acids transporter small subunit 1
REBOXETINE	P-glycoprotein 1
BUTABARBITAL	Solute carrier family 2, facilitated glucose transporter member 1
NEVIRAPINE	Solute carrier family 22 member 1
CLADRIBINE	ATP-binding cassette sub-family G member 2
CLADRIBINE	Solute carrier family 28 member 3
RANOLAZINE	Bile salt export pump
RANOLAZINE	P-glycoprotein 1
RANOLAZINE	Multidrug and toxin extrusion protein 1
RANOLAZINE	Multidrug and toxin extrusion protein 2
MESALAZINE	Solute carrier organic anion transporter family member 1B1
MESALAZINE	Solute carrier organic anion transporter family member 1B3
MESALAZINE	Solute carrier organic anion transporter family member 2B1
ZIPRASIDONE	P-glycoprotein 1
CABERGOLINE	P-glycoprotein 1
PHENYTOIN	Solute carrier organic anion transporter family member 1C1
PHENYTOIN	P-glycoprotein 1
PHENYTOIN	Canalicular multispecific organic anion transporter 1
MEDRYSONE	Solute carrier organic anion transporter family member 1A2
MEDRYSONE	P-glycoprotein 1
MEDRYSONE	Solute carrier family 22 member 8
DOXYCYCLINE	Solute carrier family 22 member 6
DOXYCYCLINE	ATP-binding cassette sub-family B member 5
DIETHYLSTILBESTROL	ATP-binding cassette sub-family G member 2
DIETHYLSTILBESTROL	P-glycoprotein 1
DIETHYLSTILBESTROL	Solute carrier organic anion transporter family member 1B1
DIETHYLSTILBESTROL	Solute carrier organic anion transporter family member 2B1
DIETHYLSTILBESTROL	Bile salt export pump
CLOTRIMAZOLE	P-glycoprotein 1
CLOTRIMAZOLE	Bile salt export pump
CLOTRIMAZOLE	Solute carrier organic anion transporter family member 1B1
CLOTRIMAZOLE	Solute carrier organic anion transporter family member 1B3
CYCLOSERINE	Proton-coupled amino acid transporter 2
METOPROLOL	Solute carrier family 22 member 2
ISRADIPINE	Bile salt export pump
TOPIRAMATE	P-glycoprotein 1
TOPIRAMATE	5'-AMP-activated protein kinase
CEFMETAZOLE	Solute carrier family 15 member 1
CEFMETAZOLE	Solute carrier family 15 member 2
OLMESARTAN	Canalicular multispecific organic anion transporter 1
OLMESARTAN	Solute carrier organic anion transporter family member 1B3
OLMESARTAN	Solute carrier organic anion transporter family member 1B1
OLMESARTAN	Bile salt export pump
AMSACRINE	P-glycoprotein 1
THEOPHYLLINE	Solute carrier family 22 member 7
LIOTHYRONINE	Solute carrier organic anion transporter family member 1A2
LIOTHYRONINE	Solute carrier organic anion transporter family member 1B1
LIOTHYRONINE	Solute carrier organic anion transporter family member 1B3
LIOTHYRONINE	Solute carrier organic anion transporter family member 4C1
LIOTHYRONINE	Sodium/bile acid cotransporter
LIOTHYRONINE	Solute carrier organic anion transporter family member 1C1
LIOTHYRONINE	Solute carrier organic anion transporter family member 4A1
LIOTHYRONINE	Solute carrier family 22 member 8
LIOTHYRONINE	Monocarboxylate transporter 10
LIOTHYRONINE	P-glycoprotein 1
LIOTHYRONINE	Large neutral amino acids transporter small subunit 1
DISOPYRAMIDE	Solute carrier family 22 member 1
DISOPYRAMIDE	Solute carrier family 22 member 2
LIDOCAINE	Solute carrier family 22 member 5
LIDOCAINE	P-glycoprotein 1
VENLAFAXINE	P-glycoprotein 1
VENLAFAXINE	ATP-binding cassette sub-family G member 2
CONJUGATED ESTROGENS	Canalicular multispecific organic anion transporter 2
CONJUGATED ESTROGENS	Multidrug resistance-associated protein 4
CONJUGATED ESTROGENS	Multidrug resistance-associated protein 1
CONJUGATED ESTROGENS	Solute carrier organic anion transporter family member 1A2
CONJUGATED ESTROGENS	Sodium/bile acid cotransporter
CONJUGATED ESTROGENS	Solute carrier family 22 member 10
CONJUGATED ESTROGENS	Solute carrier family 22 member 8
CONJUGATED ESTROGENS	Solute carrier organic anion transporter family member 1C1
CONJUGATED ESTROGENS	Solute carrier organic anion transporter family member 1B1
CONJUGATED ESTROGENS	Solute carrier organic anion transporter family member 2B1
CONJUGATED ESTROGENS	P-glycoprotein 1
CONJUGATED ESTROGENS	Solute carrier family 22 member 6
CONJUGATED ESTROGENS	Organic solute transporter subunit alpha
CONJUGATED ESTROGENS	Organic solute transporter subunit beta
CONJUGATED ESTROGENS	Canalicular multispecific organic anion transporter 1
CONJUGATED ESTROGENS	Solute carrier organic anion transporter family member 4A1
CONJUGATED ESTROGENS	ATP-binding cassette sub-family C member 11
CONJUGATED ESTROGENS	Solute carrier organic anion transporter family member 1B3
CONJUGATED ESTROGENS	Solute carrier family 22 member 11
CONJUGATED ESTROGENS	Solute carrier organic anion transporter family member 3A1
CONJUGATED ESTROGENS	ATP-binding cassette sub-family G member 2
CHLORAMBUCIL	Solute carrier organic anion transporter family member 1A2
MORPHINE	P-glycoprotein 1
TENOFOVIR DISOPROXIL	Solute carrier family 22 member 6
TENOFOVIR DISOPROXIL	Solute carrier family 22 member 8
TENOFOVIR DISOPROXIL	Multidrug resistance-associated protein 7
TENOFOVIR DISOPROXIL	Multidrug resistance-associated protein 4
TENOFOVIR DISOPROXIL	Canalicular multispecific organic anion transporter 1
TENOFOVIR DISOPROXIL	P-glycoprotein 1
FLUCLOXACILLIN	Bile salt export pump
ETHOXZOLAMIDE	Solute carrier family 22 member 6
VALPROIC ACID	Solute carrier family 22 member 6
VALPROIC ACID	Solute carrier family 22 member 8
VALPROIC ACID	Solute carrier family 22 member 5
VALPROIC ACID	Monocarboxylate transporter 1
VALPROIC ACID	Solute carrier family 22 member 7
VALPROIC ACID	Solute carrier organic anion transporter family member 2B1
ZOLMITRIPTAN	P-glycoprotein 1
ACETAMINOPHEN	P-glycoprotein 1
GEFITINIB	P-glycoprotein 1
GEFITINIB	ATP-binding cassette sub-family G member 2
CODEINE	Solute carrier family 22 member 1
PIPERACILLIN	Solute carrier family 22 member 6
PIPERACILLIN	Solute carrier family 22 member 8
DIHYDROERGOTAMINE	P-glycoprotein 1
AMITRIPTYLINE	P-glycoprotein 1
INDOMETHACIN	Canalicular multispecific organic anion transporter 2
INDOMETHACIN	Multidrug resistance-associated protein 4
INDOMETHACIN	Multidrug resistance-associated protein 6
INDOMETHACIN	P-glycoprotein 1
INDOMETHACIN	Multidrug resistance-associated protein 1
INDOMETHACIN	Solute carrier organic anion transporter family member 1A2
INDOMETHACIN	Solute carrier family 22 member 6
INDOMETHACIN	Solute carrier family 22 member 8
INDOMETHACIN	Canalicular multispecific organic anion transporter 1
INDOMETHACIN	ATP-binding cassette sub-family C member 11
INDOMETHACIN	Solute carrier family 22 member 11
INDOMETHACIN	Sodium/bile acid cotransporter
INDOMETHACIN	Solute carrier family 22 member 7
INDOMETHACIN	Solute carrier organic anion transporter family member 1B1
INDOMETHACIN	Bile salt export pump
METFORMIN	Solute carrier family 22 member 1
METFORMIN	Solute carrier family 22 member 2
METFORMIN	Solute carrier family 22 member 3
METFORMIN	Multidrug and toxin extrusion protein 1
METFORMIN	Equilibrative nucleoside transporter 4
METFORMIN	Multidrug and toxin extrusion protein 2
IPRATROPIUM	Solute carrier family 22 member 5
IPRATROPIUM	Solute carrier family 22 member 4
METHADONE	P-glycoprotein 1
OLANZAPINE	P-glycoprotein 1
ATENOLOL	Bile salt export pump
OMEPRAZOLE	ATP-binding cassette sub-family G member 2
OMEPRAZOLE	Canalicular multispecific organic anion transporter 2
OMEPRAZOLE	P-glycoprotein 1
CETIRIZINE	P-glycoprotein 1
TERFENADINE	P-glycoprotein 1
TERFENADINE	Bile salt export pump
DILTIAZEM	P-glycoprotein 1
PROTRIPTYLINE	P-glycoprotein 1
AMINOHIPPURIC ACID	Solute carrier family 22 member 2
AMINOHIPPURIC ACID	Solute carrier family 22 member 5
AMINOHIPPURIC ACID	Solute carrier family 22 member 6
AMINOHIPPURIC ACID	Solute carrier family 22 member 8
AMINOHIPPURIC ACID	Canalicular multispecific organic anion transporter 1
AMINOHIPPURIC ACID	Solute carrier family 22 member 4
AMINOHIPPURIC ACID	Solute carrier family 22 member 11
AMINOHIPPURIC ACID	Solute carrier organic anion transporter family member 3A1
AMINOHIPPURIC ACID	Multidrug resistance-associated protein 1
AMINOHIPPURIC ACID	Monocarboxylate transporter 1
AMINOHIPPURIC ACID	Solute carrier family 22 member 7
ALFUZOSIN	P-glycoprotein 1
CLOBAZAM	P-glycoprotein 1
MEGESTROL ACETATE	P-glycoprotein 1
TIOGUANINE	Multidrug resistance-associated protein 4
MEFLOQUINE	P-glycoprotein 1
SAPROPTERIN	P-glycoprotein 1
CLOZAPINE	P-glycoprotein 1
CLOZAPINE	Solute carrier family 22 member 1
CLOZAPINE	Solute carrier family 22 member 2
CLOZAPINE	Solute carrier family 22 member 3
GREPAFLOXACIN	P-glycoprotein 1
GREPAFLOXACIN	Multidrug resistance-associated protein 1
GREPAFLOXACIN	Solute carrier family 22 member 6
GREPAFLOXACIN	Solute carrier family 22 member 2
GREPAFLOXACIN	Solute carrier family 22 member 5
GREPAFLOXACIN	Canalicular multispecific organic anion transporter 1
NOREPINEPHRINE	Sodium-dependent noradrenaline transporter
NOREPINEPHRINE	Solute carrier family 22 member 2
NOREPINEPHRINE	Solute carrier family 22 member 3
NOREPINEPHRINE	Solute carrier family 22 member 5
NOREPINEPHRINE	Solute carrier family 22 member 1
NOREPINEPHRINE	POU domain, class 5, transcription factor 1
CIDOFOVIR	Solute carrier family 22 member 6
MIRTAZAPINE	Sodium-dependent serotonin transporter
TIMOLOL	P-glycoprotein 1
AMLODIPINE	P-glycoprotein 1
TACRINE	P-glycoprotein 1
DIGOXIN	P-glycoprotein 1
DIGOXIN	Solute carrier organic anion transporter family member 4C1
DIGOXIN	Bile salt export pump
DIGOXIN	Solute carrier organic anion transporter family member 1A2
DIGOXIN	Organic solute transporter subunit alpha
DIGOXIN	Organic solute transporter subunit beta
DIGOXIN	Solute carrier organic anion transporter family member 1B1
SULPIRIDE	Solute carrier family 22 member 1
SULPIRIDE	Solute carrier family 22 member 2
SULPIRIDE	Multidrug and toxin extrusion protein 1
SULPIRIDE	Multidrug and toxin extrusion protein 2
SULPIRIDE	Solute carrier family 22 member 3
SULPIRIDE	P-glycoprotein 1
SULPIRIDE	ATP-binding cassette sub-family G member 2
BECLOMETHASONE DIPROPIONATE	P-glycoprotein 1
BECLOMETHASONE DIPROPIONATE	ATP-binding cassette sub-family G member 2
BECLOMETHASONE DIPROPIONATE	Solute carrier organic anion transporter family member 1B1
BECLOMETHASONE DIPROPIONATE	Solute carrier organic anion transporter family member 1B3
PROGESTERONE	P-glycoprotein 1
PROGESTERONE	Solute carrier family 22 member 2
PROGESTERONE	Solute carrier family 22 member 1
PROGESTERONE	Solute carrier family 22 member 3
PROGESTERONE	Bile salt export pump
PROGESTERONE	Multidrug resistance-associated protein 1
PROGESTERONE	Sodium/bile acid cotransporter
PROGESTERONE	Solute carrier organic anion transporter family member 1B1
PROGESTERONE	ATP-binding cassette sub-family G member 2
PROGESTERONE	Solute carrier organic anion transporter family member 1B3
SORAFENIB	P-glycoprotein 1
SORAFENIB	ATP-binding cassette sub-family G member 2
SORAFENIB	Multidrug resistance-associated protein 4
SORAFENIB	Canalicular multispecific organic anion transporter 1
SORAFENIB	RalA-binding protein 1
SORAFENIB	Solute carrier organic anion transporter family member 1B1
ZOLEDRONIC ACID	Multidrug resistance-associated protein 1
NISOLDIPINE	P-glycoprotein 1
GENTIAN VIOLET CATION	Solute carrier family 22 member 1
ROSIGLITAZONE	Solute carrier organic anion transporter family member 1B1
ROSIGLITAZONE	Bile salt export pump
ROSIGLITAZONE	Sodium/bile acid cotransporter
PRAMIPEXOLE	Solute carrier family 22 member 2
PRAMIPEXOLE	Solute carrier family 22 member 1
PRAMIPEXOLE	Solute carrier family 22 member 3
AMPICILLIN	Solute carrier family 22 member 5
AMPICILLIN	Solute carrier family 15 member 1
AMPICILLIN	Solute carrier family 15 member 2
AMPICILLIN	Monocarboxylate transporter 1
SPIRONOLACTONE	Canalicular multispecific organic anion transporter 1
SPIRONOLACTONE	P-glycoprotein 1
SPIRONOLACTONE	Solute carrier organic anion transporter family member 1A2
SPIRONOLACTONE	Bile salt export pump
STREPTOZOCIN	P-glycoprotein 1
TRIFLURIDINE	Solute carrier family 22 member 6
TRIFLURIDINE	Sodium/nucleoside cotransporter 1
TRIFLURIDINE	Equilibrative nucleoside transporter 1
TRIFLURIDINE	Equilibrative nucleoside transporter 2
CYPROHEPTADINE	Solute carrier family 22 member 1
ALLOPURINOL	Solute carrier family 22 member 8
ALLOPURINOL	Solute carrier family 22 member 7
ALLOPURINOL	ATP-binding cassette sub-family G member 2
ALLOPURINOL	Solute carrier family 22 member 2
CEFTAZIDIME	Solute carrier family 22 member 6
CERIVASTATIN	P-glycoprotein 1
CERIVASTATIN	Canalicular multispecific organic anion transporter 1
CERIVASTATIN	ATP-binding cassette sub-family G member 2
CERIVASTATIN	Solute carrier organic anion transporter family member 1B1
CERIVASTATIN	Bile salt export pump
TRIMETHOPRIM	P-glycoprotein 1
TRIMETHOPRIM	Multidrug and toxin extrusion protein 1
TRIMETHOPRIM	Multidrug and toxin extrusion protein 2
GEMCITABINE	P-glycoprotein 1
GEMCITABINE	Multidrug resistance-associated protein 7
GEMCITABINE	Equilibrative nucleoside transporter 1
GEMCITABINE	Sodium/nucleoside cotransporter 1
GEMCITABINE	Equilibrative nucleoside transporter 2
GEMCITABINE	Solute carrier family 28 member 3
BETAMETHASONE	P-glycoprotein 1
TENIPOSIDE	Multidrug resistance-associated protein 6
TENIPOSIDE	ATP-binding cassette sub-family G member 2
EPIRUBICIN	Multidrug resistance-associated protein 1
CHLORAMPHENICOL	Solute carrier family 22 member 6
LORACARBEF	Solute carrier family 15 member 1
LORACARBEF	Solute carrier family 15 member 2
LANSOPRAZOLE	ATP-binding cassette sub-family G member 2
LANSOPRAZOLE	P-glycoprotein 1
LANSOPRAZOLE	Solute carrier family 22 member 8
LANSOPRAZOLE	Solute carrier family 22 member 1
LANSOPRAZOLE	Solute carrier family 22 member 2
LANSOPRAZOLE	Solute carrier family 22 member 3
LEVOTHYROXINE	Solute carrier organic anion transporter family member 1C1
LEVOTHYROXINE	Monocarboxylate transporter 8
LEVOTHYROXINE	P-glycoprotein 1
LEVOTHYROXINE	Solute carrier organic anion transporter family member 1A2
LEVOTHYROXINE	Solute carrier organic anion transporter family member 1B1
LEVOTHYROXINE	Solute carrier organic anion transporter family member 1B3
LEVOTHYROXINE	Solute carrier organic anion transporter family member 4A1
LEVOTHYROXINE	Large neutral amino acids transporter small subunit 1
LEVOTHYROXINE	Solute carrier organic anion transporter family member 2B1
MEPERIDINE	P-glycoprotein 1
LORATADINE	P-glycoprotein 1
LORATADINE	Bile salt export pump
CEFALOTIN	Solute carrier family 22 member 5
CEFALOTIN	Solute carrier family 15 member 1
CEFALOTIN	Solute carrier family 15 member 2
CEFALOTIN	Solute carrier family 22 member 6
CEFALOTIN	Solute carrier family 22 member 8
CEFALOTIN	Solute carrier family 22 member 11
CEFALOTIN	Solute carrier family 22 member 7
PRAZOSIN	Solute carrier family 22 member 1
PRAZOSIN	Solute carrier family 22 member 3
PRAZOSIN	P-glycoprotein 1
PRAZOSIN	ATP-binding cassette sub-family G member 2
IMIPRAMINE	P-glycoprotein 1
IMIPRAMINE	Solute carrier family 22 member 2
IMIPRAMINE	Solute carrier family 22 member 3
IMIPRAMINE	Solute carrier family 22 member 4
QUININE	Solute carrier family 22 member 2
QUININE	Solute carrier family 22 member 1
QUININE	Solute carrier family 22 member 5
QUININE	P-glycoprotein 1
QUININE	Solute carrier organic anion transporter family member 1A2
QUININE	Solute carrier family 22 member 4
QUININE	Solute carrier organic anion transporter family member 1B1
TENOXICAM	Solute carrier family 22 member 8
DRONABINOL	ATP-binding cassette sub-family G member 2
DRONABINOL	P-glycoprotein 1
DRONABINOL	Multidrug resistance-associated protein 1
MONTELUKAST	Solute carrier organic anion transporter family member 2B1
FLUOXETINE	P-glycoprotein 1
DULOXETINE	P-glycoprotein 1
CHLORPROMAZINE	P-glycoprotein 1
CHLORPROMAZINE	Bile salt export pump
LENALIDOMIDE	P-glycoprotein 1
RALOXIFENE	Solute carrier organic anion transporter family member 1B1
RALOXIFENE	Solute carrier organic anion transporter family member 1B3
RALOXIFENE	P-glycoprotein 1
RALOXIFENE	ATP-binding cassette sub-family G member 2
RALOXIFENE	Canalicular multispecific organic anion transporter 1
RALOXIFENE	Canalicular multispecific organic anion transporter 2
RALOXIFENE	Multidrug resistance-associated protein 4
CELECOXIB	Multidrug resistance-associated protein 4
CELECOXIB	Bile salt export pump
CELECOXIB	P-glycoprotein 1
CELECOXIB	ATP-binding cassette sub-family G member 2
DICLOXACILLIN	Solute carrier family 15 member 1
DICLOXACILLIN	Solute carrier family 15 member 2
BUSPIRONE	P-glycoprotein 1
FOSINOPRIL	Solute carrier family 15 member 1
FOSINOPRIL	Solute carrier family 15 member 2
