0	1
INTERFERON ALFA-N3	Interferon alpha/beta receptor 2
PEGFILGRASTIM	Granulocyte colony-stimulating factor receptor
SARGRAMOSTIM	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
SARGRAMOSTIM	Interleukin-3 receptor subunit alpha
SARGRAMOSTIM	Cytokine receptor common subunit beta
SARGRAMOSTIM	Syndecan-2
PEGINTERFERON ALFA-2B	Interferon alpha/beta receptor 1
PEGINTERFERON ALFA-2B	Interferon alpha/beta receptor 2
ASPARAGINASE ESCHERICHIA COLI	L-asparagine
THYROTROPIN ALFA	Thyrotropin receptor
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Coagulation factor X
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Coagulation factor IX
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	von Willebrand factor
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Phytanoyl-CoA dioxygenase, peroxisomal
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Asialoglycoprotein receptor 2
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	78 kDa glucose-regulated protein
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Calreticulin
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Calnexin
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Protein ERGIC-53
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Prolow-density lipoprotein receptor-related protein 1
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Multiple coagulation factor deficiency protein 2
ANAKINRA	Interleukin-1 receptor type 1
HUMAN IMMUNOGLOBULIN G	High affinity immunoglobulin gamma Fc receptor I
HUMAN IMMUNOGLOBULIN G	High affinity immunoglobulin gamma Fc receptor IB
HUMAN IMMUNOGLOBULIN G	Low affinity immunoglobulin gamma Fc region receptor II-a
HUMAN IMMUNOGLOBULIN G	Low affinity immunoglobulin gamma Fc region receptor II-b
HUMAN IMMUNOGLOBULIN G	Low affinity immunoglobulin gamma Fc region receptor II-c
HUMAN IMMUNOGLOBULIN G	Low affinity immunoglobulin gamma Fc region receptor III-A
HUMAN IMMUNOGLOBULIN G	Low affinity immunoglobulin gamma Fc region receptor III-B
HUMAN IMMUNOGLOBULIN G	Complement C3
HUMAN IMMUNOGLOBULIN G	Complement C4-A
HUMAN IMMUNOGLOBULIN G	Complement C4-B
HUMAN IMMUNOGLOBULIN G	Complement C5
ANISTREPLASE	Plasminogen
INSULIN HUMAN	Insulin receptor
INSULIN HUMAN	Insulin-like growth factor 1 receptor
INSULIN HUMAN	Carboxypeptidase E
INSULIN HUMAN	Carboxypeptidase E
INSULIN HUMAN	Protein NOV homolog
INSULIN HUMAN	Low-density lipoprotein receptor-related protein 2
INSULIN HUMAN	Insulin-like growth factor-binding protein 7
INSULIN HUMAN	Insulin-like growth factor-binding protein 7
TENECTEPLASE	Plasminogen
MENOTROPINS	Follicle-stimulating hormone receptor
INTERFERON GAMMA-1B	Interferon gamma receptor 1
INTERFERON GAMMA-1B	Interferon gamma receptor 2
DESMOPRESSIN	Vasopressin V2 receptor
OPRELVEKIN	Interleukin-11 receptor subunit alpha
PALIFERMIN	Fibroblast growth factor receptor 2
PALIFERMIN	Fibroblast growth factor receptor 2
PALIFERMIN	Fibroblast growth factor receptor 1
PALIFERMIN	Basement membrane-specific heparan sulfate proteoglycan core protein
GLUCAGON	Glucagon receptor
GLUCAGON	Glucagon-like peptide 2 receptor
GLUCAGON	Glucagon-like peptide 1 receptor
ALDESLEUKIN	Interleukin-2 receptor subunit beta
ALDESLEUKIN	Interleukin-2 receptor subunit beta
ALDESLEUKIN	Interleukin-2 receptor subunit alpha
ALDESLEUKIN	Interleukin-2 receptor subunit alpha
ALDESLEUKIN	Cytokine receptor common subunit gamma
BOTULINUM TOXIN TYPE B	Vesicle-associated membrane protein 2
BOTULINUM TOXIN TYPE B	Vesicle-associated membrane protein 1
OMALIZUMAB	High affinity immunoglobulin epsilon receptor subunit alpha
OMALIZUMAB	High affinity immunoglobulin epsilon receptor subunit beta
LUTROPIN ALFA	Lutropin-choriogonadotropic hormone receptor
LYME DISEASE VACCINE (RECOMBINANT OSPA)	Toll-like receptor 2
INSULIN LISPRO	Insulin receptor
INSULIN LISPRO	Insulin-like growth factor 1 receptor
INSULIN GLARGINE	Insulin receptor
INSULIN GLARGINE	Insulin-like growth factor 1 receptor
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	Collagen alpha-1(I) chain
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	Collagen alpha-1(II) chain
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	Collagen alpha-1(III) chain
RASBURICASE	Uric acid
CETRORELIX	Gonadotropin-releasing hormone receptor
ADALIMUMAB	Tumor necrosis factor
ADALIMUMAB	Tumor necrosis factor
SOMATOTROPIN	Growth hormone receptor
SOMATOTROPIN	Prolactin receptor
IMIGLUCERASE	Glucocerebroside
ABCIXIMAB	Integrin beta-3
ABCIXIMAB	Integrin alpha-IIb
DROTRECOGIN ALFA	Coagulation factor VIII
DROTRECOGIN ALFA	Coagulation factor V
GEMTUZUMAB OZOGAMICIN	Myeloid cell surface antigen CD33
GEMTUZUMAB OZOGAMICIN	Myeloid cell surface antigen CD33
INDIUM IN-111 SATUMOMAB PENDETIDE	Tumor-associated glycoprotein 72 (TAG-72)
ALPHA-1-PROTEINASE INHIBITOR	Neutrophil elastase
PEGASPARGASE	L-asparagine
INTERFERON BETA-1A	Interferon alpha/beta receptor 1
PEGADEMASE	Adenosine
PEGADEMASE	Growth factor receptor-bound protein 2
ALBUMIN HUMAN	Nitric oxide
EPTIFIBATIDE	Voltage-dependent N-type calcium channel
INFLIXIMAB	Tumor necrosis factor
FOLLITROPIN	Follicle-stimulating hormone receptor
VASOPRESSIN	Vasopressin V2 receptor
VASOPRESSIN	Vasopressin V2 receptor
VASOPRESSIN	Vasopressin V1a receptor
VASOPRESSIN	Vasopressin V1a receptor
VASOPRESSIN	Vasopressin V1b receptor
VASOPRESSIN	Oxytocin receptor
INTERFERON BETA-1B	Interferon alpha/beta receptor 1
INTERFERON BETA-1B	Interferon alpha/beta receptor 2
INTERFERON ALFACON-1	Interferon alpha/beta receptor 1
INTERFERON ALFACON-1	Interferon alpha/beta receptor 2
HYALURONIDASE (OVINE)	Hyaluronan
HYALURONIDASE (OVINE)	Transforming growth factor beta-1
INSULIN PORK	Insulin receptor
TRASTUZUMAB	Receptor tyrosine-protein kinase erbB-2
TRASTUZUMAB	Receptor tyrosine-protein kinase erbB-2
RITUXIMAB	B-lymphocyte antigen CD20
RITUXIMAB	B-lymphocyte antigen CD20
BASILIXIMAB	Interleukin-2 receptor subunit alpha
BASILIXIMAB	Interleukin-2 receptor subunit beta
MUROMONAB	T-cell surface glycoprotein CD3 epsilon chain
DIGOXIN IMMUNE FAB (OVINE)	Digoxin
IBRITUMOMAB TIUXETAN	B-lymphocyte antigen CD20
IBRITUMOMAB TIUXETAN	B-lymphocyte antigen CD20
DAPTOMYCIN	Cytoplasmic membrane
TOSITUMOMAB	B-lymphocyte antigen CD20
PEGVISOMANT	Growth hormone receptor
BOTULINUM TOXIN TYPE A	Synaptosomal-associated protein 25
BOTULINUM TOXIN TYPE A	Rho-related GTP-binding protein RhoB
PANCRELIPASE	Dietary fat
PANCRELIPASE	Dietary protein
PANCRELIPASE	Dietary starch
STREPTOKINASE	Plasminogen
STREPTOKINASE	Proteinase-activated receptor 1
ALEMTUZUMAB	CAMPATH-1 antigen
ALEMTUZUMAB	Low affinity immunoglobulin gamma Fc region receptor III-B
ALEMTUZUMAB	Low affinity immunoglobulin gamma Fc region receptor III-A
ALEMTUZUMAB	High affinity immunoglobulin gamma Fc receptor I
ALEMTUZUMAB	Low affinity immunoglobulin gamma Fc region receptor II-a
ALEMTUZUMAB	Low affinity immunoglobulin gamma Fc region receptor II-b
ALEMTUZUMAB	Low affinity immunoglobulin gamma Fc region receptor II-c
ALGLUCERASE	Glucocerebroside
CAPROMAB PENDETIDE	Glutamate carboxypeptidase 2
LARONIDASE	Iduronic acid
CYCLOSPORINE	Calcium signal-modulating cyclophilin ligand
CYCLOSPORINE	Calcineurin subunit B type 2
CYCLOSPORINE	Peptidyl-prolyl cis-trans isomerase A
CYCLOSPORINE	Peptidyl-prolyl cis-trans isomerase A
CYCLOSPORINE	Peptidyl-prolyl cis-trans isomerase F, mitochondrial
ALEFACEPT	T-cell surface antigen CD2
ALEFACEPT	T-cell surface antigen CD2
ALEFACEPT	T-cell surface antigen CD2
FELYPRESSIN	Vasopressin V1a receptor
UROFOLLITROPIN	Follicle-stimulating hormone receptor
EFALIZUMAB	Integrin alpha-X
EFALIZUMAB	Integrin alpha-L
CHORIOGONADOTROPIN ALFA	Follicle-stimulating hormone receptor
ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT)	Major histocompatibility complex class I-related gene protein
ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT)	T-lymphocyte activation antigen CD86
ANTITHYMOCYTE IMMUNOGLOBULIN (RABBIT)	T-cell surface glycoprotein CD1a
FILGRASTIM	Granulocyte colony-stimulating factor receptor
COAGULATION FACTOR IX (RECOMBINANT)	Coagulation factor X
COAGULATION FACTOR IX (RECOMBINANT)	Coagulation factor XI
COAGULATION FACTOR IX (RECOMBINANT)	Coagulation factor VII
COAGULATION FACTOR IX (RECOMBINANT)	Coagulation factor VIII
AGALSIDASE BETA	Globotriaosylceramide
AGALSIDASE BETA	Globotriaosylceramide
OCTREOTIDE	Somatostatin receptor
INTERFERON ALFA-2B	Interferon alpha/beta receptor 2
INTERFERON ALFA-2B	Interferon alpha/beta receptor 1
ABARELIX	Gonadotropin-releasing hormone receptor
OXYTOCIN	Oxytocin receptor
NATALIZUMAB	Integrin alpha-4
NATALIZUMAB	Low affinity immunoglobulin gamma Fc region receptor III-B
NATALIZUMAB	High affinity immunoglobulin gamma Fc receptor I
NATALIZUMAB	Intercellular adhesion molecule 1
DACLIZUMAB	Interleukin-2 receptor subunit alpha
DACLIZUMAB	Interleukin-2 receptor subunit beta
TECHNETIUM TC-99M ARCITUMOMAB	Carcinoembryonic antigen-related cell adhesion molecule 1
PYRIDOXAL PHOSPHATE	Alanine--glyoxylate aminotransferase 2, mitochondrial
PYRIDOXAL PHOSPHATE	Glutamate decarboxylase 1
PYRIDOXAL PHOSPHATE	Cystathionine beta-synthase
PYRIDOXAL PHOSPHATE	Kynureninase
PYRIDOXAL PHOSPHATE	Serine hydroxymethyltransferase, cytosolic
PYRIDOXAL PHOSPHATE	Cysteine desulfurase, mitochondrial
PYRIDOXAL PHOSPHATE	Aspartate aminotransferase, cytoplasmic
PYRIDOXAL PHOSPHATE	Ornithine aminotransferase, mitochondrial
PYRIDOXAL PHOSPHATE	Ornithine decarboxylase
PYRIDOXAL PHOSPHATE	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial
PYRIDOXAL PHOSPHATE	4-aminobutyrate aminotransferase, mitochondrial
PYRIDOXAL PHOSPHATE	Pyridoxine-5'-phosphate oxidase
PYRIDOXAL PHOSPHATE	Sphingosine-1-phosphate lyase 1
PYRIDOXAL PHOSPHATE	Tyrosine aminotransferase
PYRIDOXAL PHOSPHATE	Kynurenine--oxoglutarate transaminase 1
PYRIDOXAL PHOSPHATE	Glycogen phosphorylase, liver form
PYRIDOXAL PHOSPHATE	Serine palmitoyltransferase 2
PYRIDOXAL PHOSPHATE	Cysteine sulfinic acid decarboxylase
PYRIDOXAL PHOSPHATE	Histidine decarboxylase
PYRIDOXAL PHOSPHATE	Arginine decarboxylase
PYRIDOXAL PHOSPHATE	L-serine dehydratase/L-threonine deaminase
PYRIDOXAL PHOSPHATE	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial
PYRIDOXAL PHOSPHATE	Glycine dehydrogenase [decarboxylating], mitochondrial
PYRIDOXAL PHOSPHATE	Alanine aminotransferase 1
PYRIDOXAL PHOSPHATE	Phosphoserine aminotransferase
PYRIDOXAL PHOSPHATE	5-aminolevulinate synthase, nonspecific, mitochondrial
PYRIDOXAL PHOSPHATE	Serine--pyruvate aminotransferase
PYRIDOXAL PHOSPHATE	Pyridoxal phosphate phosphatase
PYRIDOXAL PHOSPHATE	Serine palmitoyltransferase 1
PYRIDOXAL PHOSPHATE	Cystathionine gamma-lyase
PYRIDOXAL PHOSPHATE	Branched-chain-amino-acid aminotransferase, cytosolic
PYRIDOXAL PHOSPHATE	Branched-chain-amino-acid aminotransferase, mitochondrial
PYRIDOXAL PHOSPHATE	Proline synthase co-transcribed bacterial homolog protein
PYRIDOXAL PHOSPHATE	Aspartate aminotransferase, mitochondrial
PYRIDOXAL PHOSPHATE	Glycogen phosphorylase, brain form
PYRIDOXAL PHOSPHATE	Glycogen phosphorylase, muscle form
PYRIDOXAL PHOSPHATE	Aromatic-L-amino-acid decarboxylase
PYRIDOXAL PHOSPHATE	Serine hydroxymethyltransferase
PYRIDOXAL PHOSPHATE	Glutamate decarboxylase 2
PYRIDOXAL PHOSPHATE	Kynurenine--oxoglutarate transaminase 3
PYRIDOXAL PHOSPHATE	Glutamate decarboxylase-like protein 1
PYRIDOXAL PHOSPHATE	Selenocysteine lyase
PYRIDOXAL PHOSPHATE	Immunoglobulin superfamily member 10
PYRIDOXAL PHOSPHATE	5-phosphohydroxy-L-lysine phospho-lyase
PYRIDOXAL PHOSPHATE	Serine hydroxymethyltransferase, mitochondrial
PYRIDOXAL PHOSPHATE	5-aminolevulinate synthase, erythroid-specific, mitochondrial
PYRIDOXAL PHOSPHATE	Alanine aminotransferase 2
PYRIDOXAL PHOSPHATE	Molybdenum cofactor sulfurase
PYRIDOXAL PHOSPHATE	Serine dehydratase-like
PYRIDOXAL PHOSPHATE	Serine racemase
PYRIDOXAL PHOSPHATE	O-phosphoseryl-tRNA(Sec) selenium transferase
PYRIDOXAL PHOSPHATE	Serine palmitoyltransferase 3
PYRIDOXAL PHOSPHATE	Glutamic acid decarboxylase
PYRIDOXAL PHOSPHATE	Aspartate aminotransferase
CYANOCOBALAMIN	Methionine synthase
CYANOCOBALAMIN	Methylmalonyl-CoA mutase, mitochondrial
CYANOCOBALAMIN	Methionine synthase reductase
CYANOCOBALAMIN	Methylmalonic aciduria type A protein, mitochondrial
CYANOCOBALAMIN	Methylmalonic aciduria and homocystinuria type C protein
CYANOCOBALAMIN	Methylenetetrahydrofolate reductase
TETRAHYDROFOLIC ACID	C-1-tetrahydrofolate synthase, cytoplasmic
TETRAHYDROFOLIC ACID	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial
TETRAHYDROFOLIC ACID	Aminomethyltransferase, mitochondrial
TETRAHYDROFOLIC ACID	Cytosolic 10-formyltetrahydrofolate dehydrogenase
TETRAHYDROFOLIC ACID	Methionine synthase
TETRAHYDROFOLIC ACID	Formimidoyltransferase-cyclodeaminase
TETRAHYDROFOLIC ACID	Bifunctional purine biosynthesis protein PURH
TETRAHYDROFOLIC ACID	Serine hydroxymethyltransferase, cytosolic
TETRAHYDROFOLIC ACID	Serine hydroxymethyltransferase, mitochondrial
TETRAHYDROFOLIC ACID	Methylenetetrahydrofolate reductase
TETRAHYDROFOLIC ACID	Serine hydroxymethyltransferase
TETRAHYDROFOLIC ACID	Methionyl-tRNA formyltransferase, mitochondrial
ADEMETIONINE	Catechol O-methyltransferase
ADEMETIONINE	Glycine N-methyltransferase
ADEMETIONINE	S-adenosylmethionine decarboxylase proenzyme
ADEMETIONINE	S-adenosylmethionine synthase isoform type-2
ADEMETIONINE	Cystathionine beta-synthase
ADEMETIONINE	S-adenosylmethionine synthase isoform type-1
PYRUVIC ACID	4-aminobutyrate aminotransferase, mitochondrial
PHENYLALANINE	Tyrosine 3-monooxygenase
BIOTIN	Propionyl-CoA carboxylase beta chain, mitochondrial
BIOTIN	Biotin--protein ligase
BIOTIN	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial
BIOTIN	Acetyl-CoA carboxylase 2
BIOTIN	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial
BIOTIN	Pyruvate carboxylase, mitochondrial
BIOTIN	Propionyl-CoA carboxylase alpha chain, mitochondrial
BIOTIN	Acetyl-CoA carboxylase 1
CHOLINE	Choline-phosphate cytidylyltransferase B
CHOLINE	Acetylcholinesterase
CHOLINE	Choline-phosphate cytidylyltransferase A
CHOLINE	Phospholipase D2
CHOLINE	Cholinesterase
CHOLINE	Phospholipase D1
CHOLINE	Phosphoethanolamine/phosphocholine phosphatase
ASCORBIC ACID	Hyaluronate lyase
ASCORBIC ACID	DNA
ASCORBIC ACID	Xylose isomerase
ASCORBIC ACID	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
ASCORBIC ACID	Phytanoyl-CoA dioxygenase, peroxisomal
ASCORBIC ACID	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
ASCORBIC ACID	Gamma-butyrobetaine dioxygenase
ASCORBIC ACID	Dopamine beta-hydroxylase
ASCORBIC ACID	Peptidyl-glycine alpha-amidating monooxygenase
ASCORBIC ACID	Prolyl 3-hydroxylase 1
ASCORBIC ACID	Prolyl 3-hydroxylase 2
ASCORBIC ACID	Prolyl 3-hydroxylase 3
ASCORBIC ACID	Prolyl 4-hydroxylase subunit alpha-1
ASCORBIC ACID	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1
ASCORBIC ACID	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2
ASCORBIC ACID	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2
ASCORBIC ACID	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
ASCORBIC ACID	Lysine-specific demethylase 5D
ASCORBIC ACID	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
ASCORBIC ACID	Trimethyllysine dioxygenase, mitochondrial
ASCORBIC ACID	Transmembrane prolyl 4-hydroxylase
ASCORBIC ACID	Egl nine homolog 1
ASCORBIC ACID	Egl nine homolog 2
ASCORBIC ACID	Egl nine homolog 3
SPERMINE	Spermine synthase
SPERMINE	Spermine oxidase
SPERMINE	DNA
SPERMINE	Ornithine decarboxylase
ASPARTIC ACID	Adenylosuccinate Synthetases
ASPARTIC ACID	Asparagine synthetase [glutamine-hydrolyzing]
ASPARTIC ACID	Multifunctional protein ADE2
L-GLUTAMINE	CTP synthase 1
L-GLUTAMINE	CTP synthase 1
L-GLUTAMINE	Amidophosphoribosyltransferase
L-GLUTAMINE	Glutamine synthetase
ADENOSINE PHOSPHATE	5'-AMP-activated protein kinase
ADENOSINE PHOSPHATE	Adenosine kinase
ADENOSINE PHOSPHATE	5'-AMP-activated protein kinase subunit beta-1
ADENOSINE PHOSPHATE	Acetyl-coenzyme A synthetase, cytoplasmic
ADENOSINE PHOSPHATE	5'-AMP-activated protein kinase catalytic subunit alpha-1
ADENOSINE PHOSPHATE	Adenylate cyclase type 1
ADENOSINE PHOSPHATE	Long-chain-fatty-acid--CoA ligase 1
ADENOSINE PHOSPHATE	Cyclic AMP-responsive element-binding protein 1
ADENOSINE PHOSPHATE	DNA
ADENOSINE PHOSPHATE	cAMP-specific 3',5'-cyclic phosphodiesterase 4B
ADENOSINE PHOSPHATE	Glycogen phosphorylase, liver form
ADENOSINE PHOSPHATE	Histidine triad nucleotide-binding protein 1
ADENOSINE PHOSPHATE	cAMP-specific 3',5'-cyclic phosphodiesterase 4D
ADENOSINE PHOSPHATE	Fructose-1,6-bisphosphatase 1
ALPHA-LINOLENIC ACID	Fatty acid desaturase 1
ALPHA-LINOLENIC ACID	Fatty acid desaturase 2
ALPHA-LINOLENIC ACID	Transient receptor potential cation channel subfamily V member 1
ALPHA-LINOLENIC ACID	Bile acid receptor
ALPHA-LINOLENIC ACID	Elongation of very long chain fatty acids protein 2
ALPHA-LINOLENIC ACID	Elongation of very long chain fatty acids protein 5
METHIONINE	Methionine synthase reductase
METHIONINE	Methionine synthase
METHIONINE	Methionine aminopeptidase 2
METHIONINE	Betaine--homocysteine S-methyltransferase 1
METHIONINE	S-methylmethionine--homocysteine S-methyltransferase BHMT2
TYROSINE	Tyrosine 3-monooxygenase
CALCITRIOL	Vitamin D3 receptor
SUCCINIC ACID	Succinate-semialdehyde dehydrogenase, mitochondrial
RIBOFLAVIN	Riboflavin kinase
RIBOFLAVIN	Riboflavin synthase
RIBOFLAVIN	Flavin reductase (NADPH)
N-ACETYLGLUCOSAMINE	Alpha-N-acetylglucosaminidase
GLUTAMIC ACID	Glutamate--cysteine ligase catalytic subunit
GLUTAMIC ACID	Glutamate dehydrogenase 2, mitochondrial
GLUTAMIC ACID	Glutamine-dependent NAD(+) synthetase
GLUTAMIC ACID	Alanine aminotransferase 2
GLUTAMIC ACID	Alanine aminotransferase 2
GLUTAMIC ACID	Aspartate aminotransferase
GLUTATHIONE	Glutathione peroxidase 1
GLUTATHIONE	Glutathione peroxidase 2
GLUTATHIONE	Epididymal secretory glutathione peroxidase
GLUTATHIONE	Glutathione peroxidase 3
GLUTATHIONE	Phospholipid hydroperoxide glutathione peroxidase, mitochondrial
GLUTATHIONE	Glutathione peroxidase 6
GLUTATHIONE	Glutathione peroxidase 7
GLYCINE	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial
GLYCINE	5-aminolevulinate synthase, nonspecific, mitochondrial
GLYCINE	5-aminolevulinate synthase, erythroid-specific, mitochondrial
GLYCINE	Glycine--tRNA ligase
GLYCINE	Glutamate receptor ionotropic, NMDA 2A
GLYCINE	Bile acid-CoA:amino acid N-acyltransferase
GLYCINE	N-arachidonyl glycine receptor
GLYCINE	Glutathione synthetase
GLYCINE	Glutamate receptor ionotropic, NMDA 2C
GLYCINE	Serine hydroxymethyltransferase
GLYCINE	Glycine N-acyltransferase
GLYCINE	Serine hydroxymethyltransferase, mitochondrial
GLYCINE	Glycine N-acyltransferase-like protein 2
GLYCINE	Glycine N-acyltransferase-like protein 1
GLYCINE	Alanine--glyoxylate aminotransferase 2, mitochondrial
GLYCINE	Peroxisomal sarcosine oxidase
GLYCINE	Glutamate receptor ionotropic, NMDA 3B
GLYCINE	Glycine receptor subunit alpha-1
GLYCINE	Serine--pyruvate aminotransferase
GLYCINE	Glycine receptor subunit beta
GLYCINE	Serine hydroxymethyltransferase, cytosolic
GLYCINE	Glycine receptor subunit alpha-3
GLYCINE	Glycine receptor subunit alpha-2
GLYCINE	Glycine N-methyltransferase
GLYCINE	Glycine amidinotransferase, mitochondrial
CALCIFEDIOL	Vitamin D3 receptor
CREATINE	Creatine kinase M-type
CREATINE	Creatine kinase U-type, mitochondrial
CREATINE	Creatine kinase B-type
CREATINE	Creatine kinase S-type, mitochondrial
CREATINE	Guanidinoacetate N-methyltransferase
TRYPTOPHAN	Tryptophan--tRNA ligase, cytoplasmic
TRYPTOPHAN	Tryptophan--tRNA ligase
TRYPTOPHAN	Tryptophan--tRNA ligase, mitochondrial
CYSTEINE	Aspartate aminotransferase, cytoplasmic
CYSTEINE	Aspartate aminotransferase, mitochondrial
CYSTEINE	Cysteine--tRNA ligase, cytoplasmic
CYSTEINE	Probable cysteine--tRNA ligase, mitochondrial
THIAMINE	Thiamin pyrophosphokinase 1
ERGOCALCIFEROL	Vitamin D3 receptor
ERGOCALCIFEROL	Voltage-dependent calcium channel
DIHOMO-GAMMA-LINOLENIC ACID	Prostaglandin G/H synthase 1
CITRULLINE	Protein-arginine deiminase type-6
THREONINE	Beta-lactamase Toho-1
NADH	NADH-ubiquinone oxidoreductase chain 2
NADH	NADH-ubiquinone oxidoreductase chain 3
NADH	NADH-ubiquinone oxidoreductase chain 1
FOLIC ACID	Folate receptor gamma
FOLIC ACID	Folate receptor beta
ICOSAPENT	Prostaglandin G/H synthase 2
ICOSAPENT	Prostaglandin G/H synthase 1
ICOSAPENT	Peroxisome proliferator-activated receptor gamma
ICOSAPENT	Peroxisome proliferator-activated receptor gamma
ICOSAPENT	Peroxisome proliferator-activated receptor delta
ICOSAPENT	Free fatty acid receptor 1
ICOSAPENT	Sodium/calcium exchanger 1
ICOSAPENT	Fatty acid-binding protein, brain
ICOSAPENT	Fatty acid desaturase 1
ICOSAPENT	Long-chain-fatty-acid--CoA ligase 4
ICOSAPENT	Transient receptor potential cation channel subfamily V member 1
ICOSAPENT	Arachidonate 5-lipoxygenase
ALANINE	4-aminobutyrate aminotransferase, mitochondrial
VITAMIN A	Apolipoprotein D
VITAMIN A	Prostaglandin-H2 D-isomerase
VITAMIN A	Retinol dehydrogenase 12
VITAMIN A	11-cis retinol dehydrogenase
VITAMIN A	Retinol dehydrogenase 13
VITAMIN A	Retinal dehydrogenase 2
VITAMIN A	Retinal dehydrogenase 1
VITAMIN A	Lecithin retinol acyltransferase
VITAMIN A	Short-chain dehydrogenase/reductase 3
VITAMIN A	Aldehyde dehydrogenase family 1 member A3
VITAMIN A	All-trans-retinol 13,14-reductase
VITAMIN A	Retinol dehydrogenase 11
VITAMIN A	Dehydrogenase/reductase SDR family member 4
VITAMIN A	Retinol dehydrogenase 14
VITAMIN A	Retinol dehydrogenase 8
PYRIDOXINE	Pyridoxal kinase
ASPARTAME	Taste receptor type 1 member 2
