0	1
SUCCINIC ACID	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial
SUCCINIC ACID	Aspartyl/asparaginyl beta-hydroxylase
RIBOFLAVIN	Amine oxidase [flavin-containing] A
RIBOFLAVIN	Methylenetetrahydrofolate reductase
GLUTATHIONE	Glutathione S-transferase A2
GLUTATHIONE	Glutathione S-transferase A1
GLYCINE	Aminomethyltransferase, mitochondrial
GLYCINE	Glycine dehydrogenase [decarboxylating], mitochondrial
GLYCINE	Dihydrolipoyl dehydrogenase, mitochondrial
GLYCINE	Glycine cleavage system H protein, mitochondrial
CALCIFEDIOL	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial
CALCIFEDIOL	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial
TRYPTOPHAN	Tryptophan--tRNA ligase
TRYPTOPHAN	Tryptophan--tRNA ligase, mitochondrial
TRYPTOPHAN	Tryptophan 5-hydroxylase 1
TRYPTOPHAN	Tryptophan 5-hydroxylase 2
TRYPTOPHAN	Tryptophan--tRNA ligase, cytoplasmic
TRYPTOPHAN	Indoleamine 2,3-dioxygenase 1
TRYPTOPHAN	Tryptophan 2,3-dioxygenase
TRYPTOPHAN	Aromatic-L-amino-acid decarboxylase
THIAMINE	Cytochrome P450 4B1
THIAMINE	Thiamin pyrophosphokinase 1
THIAMINE	Ectonucleoside triphosphate diphosphohydrolase 5
THIAMINE	Thiamine-triphosphatase
ERGOCALCIFEROL	Ribulose-phosphate 3-epimerase
ERGOCALCIFEROL	Cholesterol side-chain cleavage enzyme, mitochondrial
ERGOCALCIFEROL	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial
ERGOCALCIFEROL	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial
ERGOCALCIFEROL	Sterol 26-hydroxylase, mitochondrial
ERGOCALCIFEROL	Vitamin D 25-hydroxylase
NADH	Alcohol dehydrogenase [NADP(+)]
NADH	Alcohol dehydrogenase 1A
NADH	Alcohol dehydrogenase 1B
NADH	Alcohol dehydrogenase 4
NADH	Alcohol dehydrogenase class-3
NADH	Alcohol dehydrogenase class 4 mu/sigma chain
NADH	Xanthine dehydrogenase/oxidase
NADH	Aldehyde oxidase
NADH	Alcohol dehydrogenase 6
FOLIC ACID	Gamma-glutamyl hydrolase
FOLIC ACID	Methylenetetrahydrofolate reductase
FOLIC ACID	Dihydrofolate reductase
VALINE	Valine--tRNA ligase
VALINE	Propionyl-CoA carboxylase beta chain, mitochondrial
VALINE	Branched-chain-amino-acid aminotransferase, cytosolic
VITAMIN A	Cytochrome P450 26A1
VITAMIN E	Glutathione S-transferase P
VITAMIN E	Glutathione S-transferase omega-1
VITAMIN E	Glutathione S-transferase Mu 3
VITAMIN E	Glutamate--cysteine ligase catalytic subunit
VITAMIN E	NAD(P)H dehydrogenase [quinone] 1
VITAMIN E	Heme oxygenase 1
VITAMIN E	Superoxide dismutase [Cu-Zn]
VITAMIN E	Cytochrome P450 3A4
VITAMIN E	Glutathione S-transferase A2
PYRIDOXINE	Cytochrome P450 1A1
PYRIDOXINE	Pyridoxal kinase
PYRIDOXINE	Pyridoxal phosphate phosphatase
PYRIDOXINE	Alkaline phosphatase, tissue-nonspecific isozyme
LIPOIC ACID	NADPH--cytochrome P450 reductase
CHOLECALCIFEROL	Vitamin D 25-hydroxylase
CHOLECALCIFEROL	Sterol 26-hydroxylase, mitochondrial
CHOLECALCIFEROL	Cytochrome P450 2J2
CHOLECALCIFEROL	Cytochrome P450 3A4
CHOLECALCIFEROL	Cholesterol side-chain cleavage enzyme, mitochondrial
CHOLECALCIFEROL	Cytochrome P450 1A1
CHOLECALCIFEROL	Cytochrome P450 2C8
MENADIONE	Cytochrome P450 1A2
MENADIONE	Cytochrome P450 2A6
MENADIONE	Cytochrome P450 1B1
MENADIONE	Cytochrome P450 2B6
MENADIONE	Cytochrome P450 2C8
MENADIONE	Cytochrome P450 2C9
MENADIONE	Cytochrome P450 2C19
MENADIONE	Cytochrome P450 2D6
MENADIONE	Cytochrome P450 2E1
MENADIONE	Cytochrome P450 3A4
MENADIONE	Cytochrome P450 3A5
MENADIONE	Cytochrome P450 3A7
MENADIONE	Xanthine dehydrogenase/oxidase
MENADIONE	Aldehyde oxidase
MENADIONE	Methylenetetrahydrofolate reductase
MENADIONE	Cytochrome P450 1A1
ATP	Adenosine kinase
PROLINE	Proline dehydrogenase 1, mitochondrial
ADENINE	UDP-glucuronosyltransferase 1-1
FLUVOXAMINE	Cytochrome P450 2D6
FLUVOXAMINE	Cytochrome P450 1A2
FLUVOXAMINE	Cytochrome P450 1A1
FLUVOXAMINE	Cytochrome P450 3A4
FLUVOXAMINE	Cytochrome P450 3A Subfamily
FLUVOXAMINE	Cytochrome P450 2C9
FLUVOXAMINE	Cytochrome P450 2C19
FLUVOXAMINE	Cytochrome P450 2B6
VALSARTAN	Cytochrome P450 2C9
RAMIPRIL	Cholinesterase
FLUNISOLIDE	Cytochrome P450 3A4
AMPHETAMINE	Cytochrome P450 2A6
AMPHETAMINE	Cytochrome P450 2D6
PENTAGASTRIN	Cholinesterase
NICOTINE	Cytochrome P450 1A1
NICOTINE	Cytochrome P450 1A2
NICOTINE	Cytochrome P450 2C19
NICOTINE	Cytochrome P450 2C8
NICOTINE	Cytochrome P450 2C9
NICOTINE	Cytochrome P450 2D6
NICOTINE	Cytochrome P450 3A4
NICOTINE	Amine oxidase [flavin-containing] A
NICOTINE	Amine oxidase [flavin-containing] B
NICOTINE	Cytochrome P450 2A6
NICOTINE	Cytochrome P450 2E1
NICOTINE	Cytochrome P450 2A13
NICOTINE	Cytochrome P450 2B6
CEVIMELINE	Cytochrome P450 2D6
CEVIMELINE	Cytochrome P450 3A4
CEVIMELINE	Dimethylaniline monooxygenase [N-oxide-forming] 1
LORAZEPAM	UDP-glucuronosyltransferase 2B15
LORAZEPAM	Cytochrome P450 3A4
ESMOLOL	Cytochrome P450 2D6
BORTEZOMIB	Cytochrome P450 3A4
BORTEZOMIB	Cytochrome P450 2C19
BORTEZOMIB	Cytochrome P450 2D6
BORTEZOMIB	Cytochrome P450 1A2
BORTEZOMIB	Cytochrome P450 2C9
PHENTERMINE	Cytochrome P450 3A4
TRAMADOL	Cytochrome P450 2B6
TRAMADOL	UDP-glucuronosyltransferase 1-1
TRAMADOL	Cytochrome P450 2D6
TRAMADOL	Cytochrome P450 3A4
VIDARABINE	Adenosine deaminase
BETAXOLOL	Cytochrome P450 2D6
BETAXOLOL	Cytochrome P450 1A2
FLUCONAZOLE	Cytochrome P450 3A5
FLUCONAZOLE	Cytochrome P450 3A4
FLUCONAZOLE	Cytochrome P450 2C9
FLUCONAZOLE	Cytochrome P450 2C19
TROGLITAZONE	Cytochrome P450 19A1
TROGLITAZONE	Cytochrome P450 1A1
TROGLITAZONE	Cytochrome P450 2B6
TROGLITAZONE	Cytochrome P450 2C9
TROGLITAZONE	Cytochrome P450 3A5
TROGLITAZONE	Cytochrome P450 3A7
TROGLITAZONE	UDP-glucuronosyltransferase 1-3
TROGLITAZONE	UDP-glucuronosyltransferase 1-4
TROGLITAZONE	UDP-glucuronosyltransferase 1-6
TROGLITAZONE	UDP-glucuronosyltransferase 1-7
TROGLITAZONE	UDP-glucuronosyltransferase 1-8
TROGLITAZONE	UDP-glucuronosyltransferase 1-9
TROGLITAZONE	UDP-glucuronosyltransferase 1-10
TROGLITAZONE	UDP-glucuronosyltransferase 2B7
TROGLITAZONE	UDP-glucuronosyltransferase 2B15
TROGLITAZONE	Cytochrome P450 3A4
TROGLITAZONE	Cytochrome P450 2C19
TROGLITAZONE	UDP-glucuronosyltransferase 1-1
TROGLITAZONE	Cytochrome P450 2C8
OSELTAMIVIR	Liver carboxylesterase 1
ERYTHROMYCIN	Cytochrome P450 3A5
ERYTHROMYCIN	Cytochrome P450 3A4
ERYTHROMYCIN	Cytochrome P450 3A7
CAFFEINE	Cytochrome P450 1A2
CAFFEINE	Cytochrome P450 3A4
CAFFEINE	Cytochrome P450 2E1
CAFFEINE	Cytochrome P450 2C8
CAFFEINE	Cytochrome P450 2C9
CAFFEINE	Cytochrome P450 1A1
CAFFEINE	Cytochrome P450 1B1
CAFFEINE	Cytochrome P450 2D6
SUCCINYLCHOLINE	Cholinesterase
SILDENAFIL	Cytochrome P450 3A4
SILDENAFIL	Cytochrome P450 3A5
SILDENAFIL	Cytochrome P450 3A7
SILDENAFIL	Cytochrome P450 2C9
SILDENAFIL	Cytochrome P450 2C19
SILDENAFIL	Cytochrome P450 2D6
SILDENAFIL	Cytochrome P450 2E1
DOFETILIDE	Cytochrome P450 3A4
PYRIMETHAMINE	Cytochrome P450 2C8
RESERPINE	Cytochrome P450 3A5
AZITHROMYCIN	Cytochrome P450 3A4
TICLOPIDINE	Cytochrome P450 2C19
TICLOPIDINE	Cytochrome P450 2D6
TICLOPIDINE	Myeloperoxidase
TICLOPIDINE	Cytochrome P450 2C9
TICLOPIDINE	Cytochrome P450 2C8
TICLOPIDINE	Cytochrome P450 1A2
TICLOPIDINE	Cytochrome P450 2B6
TICLOPIDINE	Cytochrome P450 2E1
TROSPIUM	Cytochrome P450 2D6
MIDODRINE	Cytochrome P450 2D6
PANTOPRAZOLE	Cytochrome P450 2C19
PANTOPRAZOLE	Cytochrome P450 3A4
TORASEMIDE	Cytochrome P450 2C8
TORASEMIDE	Cytochrome P450 2C9
CITALOPRAM	Cytochrome P450 3A4
CITALOPRAM	Cytochrome P450 2C19
CITALOPRAM	Cytochrome P450 2D6
CITALOPRAM	Cytochrome P450 1A2
CITALOPRAM	Amine oxidase [flavin-containing] A
CITALOPRAM	Amine oxidase [flavin-containing] B
CITALOPRAM	Aldehyde oxidase
ELETRIPTAN	Cytochrome P450 2D6
ELETRIPTAN	Cytochrome P450 2C9
ELETRIPTAN	Cytochrome P450 2C19
ELETRIPTAN	Cytochrome P450 2A6
ELETRIPTAN	Prostaglandin G/H synthase 1
ELETRIPTAN	Cytochrome P450 3A4
MOXIFLOXACIN	Cytochrome P450 1A2
NELFINAVIR	Cytochrome P450 3A4
NELFINAVIR	Cytochrome P450 3A7
NELFINAVIR	Cytochrome P450 3A5
NELFINAVIR	Cytochrome P450 2B6
NELFINAVIR	Cytochrome P450 2C19
NELFINAVIR	UDP-glucuronosyltransferase 1-1
NELFINAVIR	Cytochrome P450 2C9
NELFINAVIR	Cytochrome P450 2D6
GLIMEPIRIDE	Cytochrome P450 2C9
INDINAVIR	Cytochrome P450 2D6
INDINAVIR	UDP-glucuronosyltransferase 1-1
INDINAVIR	Cytochrome P450 3A4
INDINAVIR	Cytochrome P450 3A5
INDINAVIR	Cytochrome P450 3A7
LOVASTATIN	Cytochrome P450 3A4
LOVASTATIN	Serum paraoxonase/lactonase 3
LOVASTATIN	Cytochrome P450 2C8
LOVASTATIN	UDP-glucuronosyltransferase 1-1
LOVASTATIN	UDP-glucuronosyltransferase 1-3
LOVASTATIN	UDP-glucuronosyltransferase 2B7
LOVASTATIN	Cytochrome P450 2C19
ENFLURANE	Cytochrome P450 2E1
TEMAZEPAM	Cytochrome P450 3A4
TEMAZEPAM	Cytochrome P450 2B6
TEMAZEPAM	Cytochrome P450 2C9
AMINOSALICYLIC ACID	Myeloperoxidase
REBOXETINE	Cytochrome P450 3A4
REBOXETINE	Cytochrome P450 2D6
NEVIRAPINE	Cytochrome P450 2D6
NEVIRAPINE	Cytochrome P450 1A2
NEVIRAPINE	Cytochrome P450 3A7
NEVIRAPINE	Cytochrome P450 3A4
NEVIRAPINE	Cytochrome P450 2B6
NEVIRAPINE	Cytochrome P450 3A5
NEVIRAPINE	Cytochrome P450 2C9
NEVIRAPINE	Cytochrome P450 2A6
OXICONAZOLE	Cytochrome P450 3A4
OXICONAZOLE	Cytochrome P450 2C19
ALCLOMETASONE	Cytochrome P450 3A4
CLADRIBINE	Deoxycytidine kinase
RANOLAZINE	Cytochrome P450 3A4
RANOLAZINE	Cytochrome P450 2D6
MESALAZINE	Arylamine N-acetyltransferase 1
ZIPRASIDONE	Cytochrome P450 3A4
ZIPRASIDONE	Aldehyde oxidase
METHYSERGIDE	Cytochrome P450 3A4
CABERGOLINE	Cytochrome P450 3A4
DAPSONE	Myeloperoxidase
DAPSONE	Cytochrome P450 2C18
DAPSONE	Cytochrome P450 2C9
DAPSONE	Cytochrome P450 2E1
DAPSONE	Cytochrome P450 3A4
DAPSONE	Dimethylaniline monooxygenase [N-oxide-forming] 3
DAPSONE	Prostaglandin G/H synthase 1
DAPSONE	Prostaglandin G/H synthase 2
DAPSONE	Cytochrome P450 2C8
DAPSONE	Cytochrome P450 2C19
DAPSONE	Arylamine N-acetyltransferase 2
DAPSONE	Cytochrome P450 3A5
DAPSONE	Cytochrome P450 3A7
PHENYTOIN	Cytochrome P450 2C9
PHENYTOIN	Cytochrome P450 2C19
PHENYTOIN	Cytochrome P450 2C8
PHENYTOIN	Cytochrome P450 2B6
PHENYTOIN	Cytochrome P450 3A4
PHENYTOIN	Cytochrome P450 3A5
PHENYTOIN	Cytochrome P450 3A7
PHENYTOIN	Cytochrome P450 11B1, mitochondrial
PHENYTOIN	UDP-glucuronosyltransferase 1-1
PHENYTOIN	UDP-glucuronosyltransferase 1-6
PHENYTOIN	UDP-glucuronosyltransferase 1-9
PHENYTOIN	Cytochrome P450 1A2
PHENYTOIN	Cytochrome P450 2A6
PHENYTOIN	Cytochrome P450 2D6
PHENYTOIN	Cytochrome P450 2E1
PHENYTOIN	Epoxide hydrolase 1
PHENYTOIN	UDP-glucuronosyltransferase 1-4
PHENYTOIN	Catechol O-methyltransferase
PHENYTOIN	NAD(P)H dehydrogenase [quinone] 1
PHENYTOIN	Cytochrome P450 2C18
MEDRYSONE	Cytochrome P450 3A4
MEDRYSONE	Cytochrome P450 3A5
DOXYCYCLINE	Cytochrome P450 3A4
DIETHYLSTILBESTROL	Cytochrome P450 3A4
DIETHYLSTILBESTROL	Cytochrome P450 2C8
DIETHYLSTILBESTROL	Cytochrome P450 2C9
DIETHYLSTILBESTROL	Cytochrome P450 2E1
DIETHYLSTILBESTROL	Catechol O-methyltransferase
DIETHYLSTILBESTROL	Cytochrome P450 19A1
CLOTRIMAZOLE	Cytochrome P450 2C8
CLOTRIMAZOLE	Cytochrome P450 3A4
CLOTRIMAZOLE	Cytochrome P450 2B6
CLOTRIMAZOLE	Cytochrome P450 2D6
CLOTRIMAZOLE	Cytochrome P450 2A6
CLOTRIMAZOLE	Cytochrome P450 2C9
CLOTRIMAZOLE	Cytochrome P450 2E1
CLOTRIMAZOLE	Cytochrome P450 3A7
CYCLOSERINE	Aromatic-L-amino-acid decarboxylase
ANAGRELIDE	Cytochrome P450 1A2
SULFISOXAZOLE	Cytochrome P450 2C9
METOPROLOL	Cytochrome P450 3A4
METOPROLOL	Cytochrome P450 2D6
DICOUMAROL	Cytochrome P450 2C9
DICOUMAROL	Cytochrome P450 2C6
DICOUMAROL	Cytochrome P450 2C11
ROPINIROLE	Cytochrome P450 1A2
CHLOROTRIANISENE	Cytochrome P450 19A1
ISRADIPINE	Cytochrome P450 3A4
TOPIRAMATE	Cytochrome P450 3A4
TOPIRAMATE	Cytochrome P450 2C19
THEOPHYLLINE	Cytochrome P450 1A1
THEOPHYLLINE	Cytochrome P450 1B1
THEOPHYLLINE	Cytochrome P450 2D6
THEOPHYLLINE	Cytochrome P450 1A2
THEOPHYLLINE	Adenosine deaminase
THEOPHYLLINE	Cytochrome P450 2E1
THEOPHYLLINE	Cytochrome P450 3A4
ARGATROBAN	Cytochrome P450 3A4
ARGATROBAN	Cytochrome P450 3A5
LIOTHYRONINE	UDP-glucuronosyltransferase 1-1
DISOPYRAMIDE	Cytochrome P450 1A2
DISOPYRAMIDE	Cytochrome P450 3A4
LIDOCAINE	Cytochrome P450 3A4
LIDOCAINE	Cytochrome P450 2D6
LIDOCAINE	Cytochrome P450 3A5
LIDOCAINE	Cytochrome P450 3A7
LIDOCAINE	Cytochrome P450 1A2
LIDOCAINE	Cytochrome P450 2C9
LIDOCAINE	Cytochrome P450 2C8
LIDOCAINE	Cytochrome P450 2A6
LIDOCAINE	Cytochrome P450 2B6
CLEMASTINE	Cytochrome P450 2D6
VENLAFAXINE	Cytochrome P450 2D6
VENLAFAXINE	Cytochrome P450 3A4
VENLAFAXINE	Cytochrome P450 2C9
VENLAFAXINE	Cytochrome P450 2C19
CONJUGATED ESTROGENS	Cytochrome P450 3A4
CONJUGATED ESTROGENS	Cytochrome P450 1A2
CONJUGATED ESTROGENS	Catechol O-methyltransferase
AMCINONIDE	Cytochrome P450 3A4
AMCINONIDE	Cytochrome P450 3A5
ATOMOXETINE	Cytochrome P450 2C19
ATOMOXETINE	Cytochrome P450 2D6
BLEOMYCIN	Bleomycin hydrolase
CHLORAMBUCIL	Glutathione S-transferase P
CHLORAMBUCIL	Glutathione S-transferases (Cytosolic)
ETOMIDATE	Cytochrome P450 11B1, mitochondrial
ETOMIDATE	Cytochrome P450 11B2, mitochondrial
ETONOGESTREL	Cytochrome P450 3A4
MORPHINE	Cytochrome P450 2C8
MORPHINE	Cytochrome P450 3A4
MORPHINE	UDP-glucuronosyltransferase 2B7
MORPHINE	UDP-glucuronosyltransferase 1-1
MORPHINE	UDP-glucuronosyltransferase 1-8
MORPHINE	UDP-glucuronosyltransferase 2B15
MORPHINE	UDP-glucuronosyltransferase 2B4
MORPHINE	UDP-glucuronosyltransferase 1-3
ROPIVACAINE	Cytochrome P450 1A2
ROPIVACAINE	Cytochrome P450 3A4
ROPIVACAINE	Cytochrome P450 2B6
BUPIVACAINE	Cytochrome P450 2C19
BUPIVACAINE	Cytochrome P450 2D6
BUPIVACAINE	Cytochrome P450 3A4
TENOFOVIR DISOPROXIL	Adenylate kinase 2, mitochondrial
TENOFOVIR DISOPROXIL	Adenylate kinase 4, mitochondrial
TENOFOVIR DISOPROXIL	Nucleoside diphosphokinase
TENOFOVIR DISOPROXIL	Creatine Kinases
FLUCLOXACILLIN	Cytochrome P450 3A4
ERTAPENEM	Dipeptidase 1
DESOGESTREL	Cytochrome P450 3A4
DESOGESTREL	Cytochrome P450 2C9
DESOGESTREL	UDP-glucuronosyltransferase 1-1
MITOMYCIN	NADPH--cytochrome P450 reductase
BEXAROTENE	Cytochrome P450 2C8
BEXAROTENE	Cytochrome P450 3A4
VINDESINE	Cytochrome P450 3A4
PENTOBARBITAL	Cytochrome P450 2C19
PENTOBARBITAL	Cytochrome P450 2A6
PENTOBARBITAL	Cytochrome P450 3A4
VALPROIC ACID	Cytochrome P450 2A6
VALPROIC ACID	Cytochrome P450 2B6
VALPROIC ACID	Cytochrome P450 2C9
VALPROIC ACID	Cytochrome P450 3A5
VALPROIC ACID	Prostaglandin G/H synthase 1
VALPROIC ACID	Cytochrome P450 1A2
VALPROIC ACID	Cytochrome P450 2C19
VALPROIC ACID	Cytochrome P450 3A4
VALPROIC ACID	UDP-glucuronosyltransferase 1-4
VALPROIC ACID	UDP-glucuronosyltransferase 1-8
VALPROIC ACID	UDP-glucuronosyltransferase 1-10
VALPROIC ACID	UDP-glucuronosyltransferase 1-6
VALPROIC ACID	UDP-glucuronosyltransferase 1-3
VALPROIC ACID	UDP-glucuronosyltransferase 2B7
VALPROIC ACID	UDP-glucuronosyltransferase 2B15
VALPROIC ACID	UDP-glucuronosyltransferase 1-9
VALPROIC ACID	UDP-glucuronosyltransferase 1-1
ZOLMITRIPTAN	Cytochrome P450 1A2
ZOLMITRIPTAN	Amine oxidase [flavin-containing] A
ACETAMINOPHEN	Cytochrome P450 2E1
ACETAMINOPHEN	Cytochrome P450 1A2
ACETAMINOPHEN	Cytochrome P450 3A4
ACETAMINOPHEN	Cytochrome P450 2D6
ACETAMINOPHEN	Cytochrome P450 2A6
ACETAMINOPHEN	UDP-glucuronosyltransferase 1-6
ACETAMINOPHEN	UDP-glucuronosyltransferase 1-1
ACETAMINOPHEN	UDP-glucuronosyltransferase 1-9
ACETAMINOPHEN	UDP-glucuronosyltransferase 2B15
ACETAMINOPHEN	Sulfotransferase 1A1
ACETAMINOPHEN	Sulfotransferase 1A3/1A4
ACETAMINOPHEN	Arylamine N-acetyltransferase 2
ACETAMINOPHEN	Fatty-acid amide hydrolase 1
ACETAMINOPHEN	Glutathione S-transferase P
ACETAMINOPHEN	Glutathione S-transferase Mu 1
GEFITINIB	Cytochrome P450 3A5
GEFITINIB	Cytochrome P450 1A1
GEFITINIB	Cytochrome P450 2C9
GEFITINIB	Cytochrome P450 2C19
GEFITINIB	Cytochrome P450 3A4
GEFITINIB	Cytochrome P450 2D6
CODEINE	Cytochrome P450 2D6
CODEINE	Cytochrome P450 3A4
CODEINE	UDP-glucuronosyltransferase 2B7
CODEINE	UDP-glucuronosyltransferase 2B4
DIHYDROERGOTAMINE	Cytochrome P450 3A4
AMITRIPTYLINE	Cytochrome P450 2D6
AMITRIPTYLINE	Cytochrome P450 1A2
AMITRIPTYLINE	Cytochrome P450 2C19
AMITRIPTYLINE	Cytochrome P450 2C9
AMITRIPTYLINE	Cytochrome P450 3A4
AMITRIPTYLINE	Cytochrome P450 3A5
AMITRIPTYLINE	Cytochrome P450 2B6
AMITRIPTYLINE	Cytochrome P450 2C8
AMITRIPTYLINE	UDP-glucuronosyltransferase 2B10
AMITRIPTYLINE	UDP-glucuronosyltransferase 1-4
AMITRIPTYLINE	Glutathione S-transferases (Cytosolic)
FLOXURIDINE	Thymidine phosphorylase
FLOXURIDINE	Cytochrome P450 2C9
TOLCAPONE	Cytochrome P450 2C9
FLUOROMETHOLONE	Cytochrome P450 3A5
FLUOROMETHOLONE	Cytochrome P450 3A4
NITROPRUSSIDE	Cytochrome P450 1A1
